,links
"ACAPITAL FERTILITY AND GENOMICS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V67572206 
"ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84841055 
"ACCION IBEX 35 ETF, FI COTIZADO ARMONIZADO",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84750637 
"ACTIVE VALUE SELECTION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88036975 
"ACURIO EUROPEAN MANAGERS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88424908 
"ADAMANTIUM, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V01901362 
"ADRIZA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85235620 
"ADRIZA RENTA FIJA CORTO PLAZO SOSTENIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87913182 
AFI GLOBAL FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81980070 
"AGAVE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88259650 
"ALBUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65087215 
"ALCALA MULTIGESTION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81545493 
"ALGAR GLOBAL FUND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87287553 
"ALHAJA INVERSIONES RV MIXTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87189460 
"ALISIO CARTERA SOSTENIBLE ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87983243 
"ALLIANZ BOLSA ESPAÑOLA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88570007 
"ALLIANZ CARTERA DECIDIDA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88569983 
"ALLIANZ CARTERA DINAMICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88570148 
"ALLIANZ CARTERA MODERADA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88569892 
"ALLIANZ CONSERVADOR DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88570130 
"ALONDRA CAPITAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87733978 
"ALPHA INVESTMENTS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86459815 
"ALTAIR EUROPEAN OPPORTUNITIES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87466777 
"ALTAIR INVERSIONES II, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87382172 
"ALTAIR PATRIMONIO II, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87383766 
"ALTAIR RENTA FIJA DEFENSIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87113726 
"AMEINON RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86936861 
"AMISTRA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95615092 
"AMUNDI CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80346265 
"AMUNDI ESTRATEGIA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81029019 
"AMUNDI FONDTESORO LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79501672 
"ÁNCORA CONSERVADOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88642400 
"ANDBANK MEGATRENDS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88349535 
"ANNAPURNA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86426863 
"ANNUALCYCLES STRATEGIES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V-65433930
"ARCANO PARTNERS FUND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87708434 
"ARQUIA BANCA BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66360967 
"ARQUIA BANCA DINAMICO 100RV, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66728932 
"ARQUIA BANCA EQUILIBRADO 60RV, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66728924 
"ARQUIA BANCA PRUDENTE 30RV, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66728908 
"ARQUIA BANCA RF EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63030274 
"ARQUIA BANCA RF FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88614524 
"ARQUIA BANCA RVM, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66043803 
"ARQUIA BANCA UNO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V58430059 
"ARTE FINANCIERO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81770737 
"ATL CAPITAL BEST MANAGERS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84462001 
"ATL CAPITAL CARTERA DINAMICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85271096 
"ATL CAPITAL CARTERA PATRIMONIO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85271120 
"ATL CAPITAL CARTERA RENTA VARIABLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87113551 
"ATL CAPITAL CARTERA TACTICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85271161 
"ATL CAPITAL CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84462019 
"ATL CAPITAL QUANT 25, FI (EN LIQUIDACION)",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86510864 
"ATL CAPITAL RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85641959 
ATTITUDE OPPORTUNITIES FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86209699 
"ATTITUDE SHERPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87969770 
"AURUM RENTA VARIABLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84414564 
"AVANCE GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82628934 
"AVANCE MULTIACTIVOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88306766 
"AVANTAGE FUND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87077459 
"AZVALOR BLUE CHIPS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87652053 
"AZVALOR CAPITAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87393195 
"AZVALOR IBERIA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87393237 
"AZVALOR INTERNACIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87393245 
"AZVALOR MANAGERS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88203104 
"B&H ACCIONES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87887600 
"B&H DEUDA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88552039 
"B&H FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87887642 
"B&H RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87887592 
"BANKIA BANCA PRIVADA RENTA FIJA EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83007617 
"BANKIA BANCA PRIVADA RENTA VARIABLE ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81851834 
"BANKIA BANCA PRIVADA SELECCIÓN, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81998478 
"BANKIA BOLSA ESPAÑOLA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V96775994 
"BANKIA BOLSA USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81795395 
"BANKIA BONOS 24 MESES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V97288245 
"BANKIA BONOS DURACION FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81560559 
"BANKIA BONOS INTERNACIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82217969 
"BANKIA CAUTO DIVIDENDOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88400510 
"BANKIA DIVERSIFICACIÓN II, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88031687 
"BANKIA DIVIDENDO ESPAÑA , FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81791063 
"BANKIA DIVIDENDO EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V58615170 
"BANKIA DOLAR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82106824 
"BANKIA DURACION FLEXIBLE 0-2, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81483786 
"BANKIA EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81757825 
"BANKIA EURO TOP IDEAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81791055 
"BANKIA EVOLUCION SOSTENIBLE 15, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83565622 
"BANKIA EVOLUCION SOSTENIBLE 30, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84689884 
"BANKIA EVOLUCION SOSTENIBLE 60, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84689934 
"BANKIA FONDTESORO LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79328134 
"BANKIA FONDUXO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V96122734 
"BANKIA FUTURO SOSTENIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87816294 
"BANKIA GESTION ALTERNATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87849931 
"BANKIA GESTION DE AUTOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87040374 
"BANKIA GESTION VALOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87931507 
"BANKIA GLOBAL FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87848578 
"BANKIA GOBIERNOS EURO LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81605339 
"BANKIA INDEX CLIMA MUNDIAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V01748870 
"BANKIA INDEX EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88627526 
"BANKIA INDEX ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84245869 
"BANKIA INDEX EUROZONA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81790453 
"BANKIA INDEX JAPON, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82467952 
"BANKIA INDEX RF CORTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88627518 
"BANKIA INDEX RF LARGO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88627534 
"BANKIA INDEX USA CUBIERTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81851867 
"BANKIA INDEX USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88627542 
"BANKIA MEGATENDENCIAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88410386 
"BANKIA MIXTO DIVIDENDOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87135356 
"BANKIA MIXTO FUTURO SOSTENIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88436407 
"BANKIA MIXTO RENTA FIJA 15, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81362519 
"BANKIA MIXTO RENTA FIJA 30, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81791105 
"BANKIA MIXTO RENTA VARIABLE 50, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81068959 
"BANKIA MIXTO RENTA VARIABLE 75, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82217936 
"BANKIA RENTA FIJA CORPORATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87982740 
"BANKIA RENTA FIJA EURO CP, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V98055783 
"BANKIA RENTA FIJA LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80469737 
"BANKIA RENTA VARIABLE GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82809443 
"BANKIA SMALL & MID CAPS ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79468401 
"BANKIA SOY ASI CAUTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82809419 
"BANKIA SOY ASÍ DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82809435 
"BANKIA SOY ASI FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82742099 
"BANKINTER AHORRO ACTIVOS EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81896722 
"BANKINTER AHORRO RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81526253 
"BANKINTER BOLSA ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82145376 
"BANKINTER BONOS 2023, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88340096 
"BANKINTER BONOS SOBERANOS LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84194612 
"BANKINTER CAPITAL 1, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83517979 
"BANKINTER CAPITAL 2, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81896714 
"BANKINTER CAPITAL 3, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83517938 
"BANKINTER CAPITAL 4, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82704370 
"BANKINTER CAPITAL PLUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V78776648 
"BANKINTER DIVIDENDO EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82202482 
"BANKINTER EE.UU. NASDAQ 100, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82907973 
"BANKINTER EFICIENCIA ENERGETICA Y MEDIOAMBIENTE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82927005 
"BANKINTER ETHOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V42892141 
"BANKINTER EUROPEO INVERSO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85569663 
"BANKINTER FINANZAS GLOBALES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82668260 
"BANKINTER FUTURO IBEX, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81990129 
"BANKINTER GESTION ABIERTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V78498219 
"BANKINTER ÍNDICE AMÉRICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82668492 
"BANKINTER INDICE EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88007976 
"BANKINTER INDICE EUROPEO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82668245 
"BANKINTER INDICE GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88039342 
"BANKINTER ÍNDICE JAPÓN, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82668252 
"BANKINTER INDICE SALUD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V02666501 
"BANKINTER MEGATENDENCIAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88443205 
"BANKINTER MIXTO 20 EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87710158 
"BANKINTER MIXTO FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81701641 
"BANKINTER MIXTO RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81875668 
"BANKINTER MULTIESTRATEGIA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80270358 
"BANKINTER PEQUEÑAS COMPAÑÍAS EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84303189 
"BANKINTER PLATEA AGRESIVO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87419040 
"BANKINTER PLATEA CONSERVADOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87418034 
"BANKINTER PLATEA DEFENSIVO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87419032 
"BANKINTER PLATEA DINÁMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87419073 
"BANKINTER PLATEA MODERADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87418026 
"BANKINTER PREMIUM AGRESIVO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87597795 
"BANKINTER PREMIUM CONSERVADOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87597779 
"BANKINTER PREMIUM DEFENSIVO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87597712 
"BANKINTER PREMIUM DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87597753 
"BANKINTER PREMIUM MODERADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87597761 
"BANKINTER RENTA FIJA LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81522351 
"BANKINTER RENTA VARIABLE EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81990103 
"BANKINTER SOSTENIBILIDAD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83794180 
"BANKINTER TECNOLOGÍA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82349762 
"BANKOA AHORRO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V20512356 
"BANKOA BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V20594156 
"BANKOA BP PRIME CONSERVADOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V75171728 
"BANKOA HORIZONTE 2026, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V75163410 
"BANKOA SELECCIÓN ESTRATEGIA 10 CONSERVADOR,FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V75237206 
"BANKOA SELECCIÓN ESTRATEGIA 20, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V75131359 
"BANKOA SELECCIÓN ESTRATEGIA 50, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V75120105 
"BANKOA SELECCIÓN ESTRATEGIA 80, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V20618468 
"BANKOA SELECCIÓN ESTRATEGIA ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80038953 
"BANKOA SELECCIÓN FLEXIBLE ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95377206 
"BANKOA SELECCIÓN, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95326104 
"BBVA AHORRO CARTERA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87950648 
"BBVA AHORRO EMPRESAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83245092 
"BBVA BOLSA ASIA MF, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84195635 
"BBVA BOLSA DESARROLLO SOSTENIBLE ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81816753 
"BBVA BOLSA EMERGENTES MF, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81726184 
"BBVA BOLSA EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81726192 
"BBVA BOLSA EUROPA FINANZAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82012329 
"BBVA BOLSA EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81659716 
"BBVA BOLSA INDICE EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81767535 
"BBVA BOLSA INDICE JAPON (CUBIERTO), FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82096025 
"BBVA BOLSA INDICE USA (CUBIERTO), FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84930890 
"BBVA BOLSA INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81482986 
"BBVA BOLSA JAPON, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82343823 
"BBVA BOLSA LATAM, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81651267 
"BBVA BOLSA PLAN DIVIDENDO EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85932242 
"BBVA BOLSA PLUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81757817 
"BBVA BOLSA TECNOLOGIA Y TELECOMUNICACIONES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81828154 
