fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**93615.495*28.5**1291000.0*False*10.8464*1.49*0.0*1.49*0.1****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**77131.07*33.0**777000.0*False*11.3905*0.37*0.0*0.37*0.030000000000000002****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**138277.64*32.0**1291000.0*False*10.8464*0.37*0.0*0.37*0.020000000000000004****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**23289.5*0.5**508000.0*False*10.8981*0.15*0.0*0.15*0.01****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**0.0*0.0**0.0*False*11.4304*0.0*0.0*0.0*0.0****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**93158.0*2.0**508000.0*False*10.8981*0.15*0.0*0.15*0.01****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**6580400.9*4644.5**55706000.0*False*8.7213*1.75*0.0*1.75*0.1****True*Y*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**6431173.43*4560.0**69759000.0*False*10.2989*0.44*0.0*0.44*0.030000000000000002****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**6284601.390000001*4426.0**55706000.0*False*8.7213*0.44*0.0*0.44*0.020000000000000004****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**2892489.135*189.5**25772000.0*False*8.8775*1.25*0.0*1.25*0.1****True*Y*2018
