fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2009*2009-01-01*2009-12-31*Medio/Bajo*1.665*0.6849999999999999**6289.305*436.5*0.0*6667598.0*False*1096.3202***1.59*0.1****False*Y*2009
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2009 T4*2009-07-01*2009-12-31*Medio/Bajo*2.21*0.17**5852.920000000001*407.0*0.0*6667598.0*False*1096.3202***0.39*0.020000000000000004****False*T*2009
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010*2010-01-01*2010-12-31*Medio/Bajo*0.0*0.395**8699.11*441.5*0.0*9221568.0*False*1114.8543***1.55*0.1****False*Y*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010 T2*2010-01-01*2010-06-30*Medio/Bajo*-0.11*0.30999999999999994**9122.66*472.0*0.0*10082667.0*False*1104.7476***0.39*0.030000000000000002****False*T*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010 T4*2010-07-01*2010-12-31*Medio/Bajo*-0.08*0.6200000000000001**7652.619999999999*416.0*0.0*9221568.0*False*1114.8543***0.39*0.020000000000000004****False*T*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2011 T2*2011-01-01*2011-06-30*Medio/Bajo*1.0*0.7699999999999999**6755.3*391.0*0.0*7526407.0*False*1105.1986***0.39*0.030000000000000002****False*T*2011
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2015 T2*2015-01-01*2015-06-30*4, en una escala del 1 a 7*0.6599999999999999*0.33**14476.43*632.0*0.0*16051614.0*False*1239.58*0.39*0.0*0.39*0.030000000000000006****False*T*2015
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2015 T4*2015-07-01*2015-12-31*4, en una escala del 1 a 7*0.32999999999999996*-0.19999999999999998**14776.210000000003*668.0*0.0*19698396.0*False*1221.0607*0.22*0.0*0.22*0.04****False*T*2015
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2016*2016-01-01*2016-12-31*4, en una escala del 1 a 7*0.425*-0.13**12265.675*476.0*0.0*14575256.0*False*1219.6608*0.85*0.0*0.85*0.15000000000000002****False*Y*2016
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2016 T2*2016-01-01*2016-06-30*4, en una escala del 1 a 7*0.43999999999999995*-0.1**12532.44*469.0*0.0*15201702.0*False*1208.2963*0.21*0.0*0.21*0.030000000000000006****False*T*2016
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2016 T4*2016-07-01*2016-12-31*4, en una escala del 1 a 7*0.62*-0.21**11627.23*453.0*0.0*14575256.0*False*1219.6608*0.22*0.0*0.22*0.04****False*T*2016
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA FI*2017*2017-01-01*2017-12-31*4, en una escala del 1 a 7*0.525*0.04**8879.54*393.0*0.0*9644292.0*False*1207.1769*0.85*0.0*0.85*0.15000000000000002****False*Y*2017
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2017 T2*2017-01-01*2017-06-30*4, en una escala del 1 a 7*0.76*0.13**8966.000000000002*395.0*0.0*11870953.0*False*1215.0471*0.21*0.0*0.21*0.030000000000000006****False*T*2017
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA FI*2017 T4*2017-07-01*2017-12-31*4, en una escala del 1 a 7*0.91*-0.05**6612.91*334.0*0.0*9644292.0*False*1207.1769*0.22*0.0*0.22*0.04****False*T*2017
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA FI*2017*2017-01-01*2017-12-31*4, en una escala del 1 a 7*0.525*0.04**8879.54*393.0*0.0*9644292.0*False*1207.1769*0.85*0.0*0.85*0.15000000000000002****False*Y*2017
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2017 T2*2017-01-01*2017-06-30*4, en una escala del 1 a 7*0.76*0.13**8966.000000000002*395.0*0.0*11870953.0*False*1215.0471*0.21*0.0*0.21*0.030000000000000006****False*T*2017
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA FI*2017 T4*2017-07-01*2017-12-31*4, en una escala del 1 a 7*0.91*-0.05**6612.91*334.0*0.0*9644292.0*False*1207.1769*0.22*0.0*0.22*0.04****False*T*2017
BANKINTER MULTIESTRATEGIA, FI*CLASE R*2018 T4*2018-07-01*2018-12-31*4, en una escala del 1 a 7*0.5*-0.52**5788.4*285.0*0.0*7295198.0*False*1166.6429*0.21*0.0*0.21*0.04****True*T*2018
BANKINTER MULTIESTRATEGIA, FI*CLASE C*2018 T4*2018-07-01*2018-12-31*4, en una escala del 1 a 7*0.5*-0.52**13755.830000000002*6006.0*0.0*17648710.0*False*1169.182*0.10999999999999999*0.0*0.10999999999999999*0.039999999999999994****True*T*2018
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA FI*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 a 7*-0.06*-0.52**41835.88*14987.0*0.0*28873399.0*False*1197.1326*0.21*0.0*0.21*0.030000000000000006****False*T*2018
BANKINTER MULTIESTRATEGIA, FI*CLASE R*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 a 7*5.75*-0.10999999999999999**7077.069999999999*330.0*0.0*7821954.0*False*1184.4816*0.21*0.0*0.21*0.030000000000000006****True*T*2019
BANKINTER MULTIESTRATEGIA, FI*CLASE C*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 a 7*5.75*-0.10999999999999999**11732.280000000002*5300.0*0.0*14985752.0*False*1190.2319*0.11*0.0*0.11*0.030000000000000006****True*T*2019
BANKINTER MULTIESTRATEGIA, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*3.04*-0.29**30189.759999999995*1660.0*0.0*48606412.0*False*1150.5996*0.22*0.0*0.22*0.04****True*T*2020
BANKINTER MULTIESTRATEGIA, FI*CLASE C*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*3.04*-0.29**-7733.51*-3794.0*0.0*2017901.0*False*1163.1506*0.12000000000000001*0.0*0.12000000000000001*0.04****True*T*2020
