fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009*2009-01-01*2009-12-31*medio-alto*0.02*0.36**1207082.8050000002*398.0*0.0*9886383.0*False*8.2092***1.5*0.2****False*Y*2009
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alto*-0.11*0.72**1186633.0*398.0*0.0*9886383.0*False*8.2092***0.38*0.05****False*T*2009
BONA-RENDA, FI*Bona - Renda, F.I.*2012 T2*2012-01-01*2012-06-30*Muy alto*1.06*0.35**274610.01999999996*177.0*0.0*2291771.0*False*7.0016*0.38*0.0*0.38*0.02****False*T*2012
BONA-RENDA, FI*Bona - Renda, F.I.*2012 T4*2012-07-01*2012-12-31*Muy alto*2.6*0.12**300269.18000000005*181.0*0.0*2381731.0*False*7.7853*0.37*0.0*0.37*0.030000000000000002****False*T*2012
BONA-RENDA, FI*Bona - Renda, F.I.*2013*2013-01-01*2013-12-31*5 (En una escala del 1 al 7)*0.295*0.125**366700.54000000004*210.5*0.0*3927242.0*False*8.6398*1.5*0.0*1.5*0.09****False*Y*2013
BONA-RENDA, FI*Bona - Renda, F.I.*2013 T2*2013-01-01*2013-06-30*5 (En una escala del 1 al 7)*0.6699999999999999*0.15999999999999998**246129.74*160.0*0.0*2058600.0*False*7.3825*0.37*0.0*0.37*0.02****False*T*2013
BONA-RENDA, FI*Bona - Renda, F.I.*2013 T4*2013-07-01*2013-12-31*5 (En una escala del 1 al 7)*0.04*0.12**450447.77*246.0*0.0*3927242.0*False*8.6398*0.38*0.0*0.38*0.030000000000000002****False*T*2013
BONA-RENDA, FI*Bona - Renda, F.I.*2014 T2*2014-01-01*2014-06-30*5 (En una escala del 1 al 7)*-0.01*0.1**777030.9600000001*305.0*0.0*5868677.0*False*9.04*0.37*0.0*0.37*0.02****False*T*2014
BONA-RENDA, FI*Bona - Renda, F.I.*2015*2015-01-01*2015-12-31*5 (En una escala del 1 al 7)*0.21999999999999997*0.0**593850.27*271.5*0.0*5238810.0*False*9.1007*1.5*0.0*1.5*0.08****False*Y*2015
BONA-RENDA, FI*Bona - Renda, F.I.*2015 T2*2015-01-01*2015-06-30*5 (En una escala del 1 al 7)*0.47*0.0**594479.8400000001*274.0*0.0*5627796.0*False*9.195*0.37*0.0*0.37*0.02****False*T*2015
BONA-RENDA, FI*Bona - Renda, F.I.*2015 T4*2015-07-01*2015-12-31*5 (En una escala del 1 al 7)*0.26*0.0**564206.4*261.0*0.0*5238810.0*False*9.1007*0.38*0.0*0.38*0.02****False*T*2015
BONA-RENDA, FI*Bona - Renda, F.I.*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.215*0.0**560851.825*267.0*0.0*5448450.0*False*9.7556*1.5*0.0*1.5*0.09****False*Y*2016
BONA-RENDA, FI*Bona - Renda, F.I.*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.41*0.0**544948.0599999999*256.0*0.0*4738785.0*False*8.4139*0.38*0.0*0.38*0.02****False*T*2016
BONA-RENDA, FI*Bona - Renda, F.I.*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.08000000000000002*0.0**585684.81*285.0*0.0*5448450.0*False*9.7556*0.37*0.0*0.37*0.030000000000000002****False*T*2016
BONA-RENDA, FI*Bona - Renda, F.I.*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**754629.87*382.0*0.0*7404210.0*False*10.9779*0.37*0.0*0.37*0.02****False*T*2017
BONA-RENDA, FI*Bona - Renda, F.I.*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.055*-0.4**1869050.6099999999*947.5*0.0*22729943.0*False*11.1237*1.5*0.0*1.5*0.08****False*Y*2018
BONA-RENDA, FI*Bona - Renda, F.I.*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.42000000000000004**2178204.26*1070.0*0.0*21322899.0*False*12.582*0.37*0.0*0.37*0.02****False*T*2018
BONA-RENDA, FI*Bona - Renda, F.I.*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.14*-0.4**2094957.3399999999*1120.0*0.0*22729943.0*False*11.1237*0.38*0.0*0.38*0.02****False*T*2018
