fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PYME*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.13**203225.93*63.0**2061000.0*False*11.7513*0.33*0.0*0.33*0.01****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PYME*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*1.86*-0.21**152258.80000000002*48.0**1950000.0*False*11.8768*0.34*0.0*0.34*0.019999999999999997****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - BASE*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**19441780.620000005*10529.0**231260000.0*False*11.4563*0.4*0.0*0.4*0.01****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PLUS*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**11545914.97*774.0**135542000.0*False*11.7486*0.23999999999999996*0.0*0.23999999999999996*0.01****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**2704907.05*22.0**30086000.0*False*11.8496*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**0.0*0.0**0.0*False*11.7164*0.0*0.0*0.0*0.0****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**459632.53*8.0**5177000.0*False*11.9254*0.23999999999999996*0.0*0.23999999999999996*0.01****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PYME*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.43999999999999995*-0.8400000000000001**177098.91999999998*60.0**2106000.0*False*11.839*0.33*0.0*0.33*0.01****True*T*2018
INVERSABADELL 25, FI*INVERSABADELL 25, FI - BASE*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.625*-0.355**35339190.39*18761.5**460786000.0*False*11.4742*1.6*0.0*1.6*0.05****True*Y*2019
INVERSABADELL 25, FI*INVERSABADELL 25, FI - BASE*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.5900000000000001*-0.33**38977820.68*21534.0**345682000.0*False*11.3265*0.4*0.0*0.4*0.01****True*T*2019
