fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2009*2009-01-01*2009-12-31*Alto*0.0*0.67**14305.21*778.5*0.0*8202899.0*False*552.7911***1.12*0.1****False*Y*2009
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2018 T4*2018-07-01*2018-12-31*7, en una escala del 1 al 7*3.23*0.0**19460.910000000003*541.0*0.0*9165885.0*False*501.9066*0.38*0.0*0.38*0.020000000000000004****True*T*2018
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2018*2018-01-01*2018-12-31*7, en una escala del 1 al 7*1.5899999999999999*0.025**3382.5*782.5*0.0*3579571.0*False*529.1312*0.27*0.0*0.27*0.04****True*Y*2018
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2018 T4*2018-07-01*2018-12-31*7, en una escala del 1 al 7*3.23*0.0**6379.29*1495.0*0.0*3579571.0*False*529.1312*0.18000000000000002*0.0*0.18000000000000002*0.03****True*T*2018
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2019*2019-01-01*2019-12-31*7, en una escala del 1 al 7*1.995*0.9550000000000001**10814.29*438.0*0.0*6187881.0*False*579.6158*1.51*0.0*1.51*0.1****True*Y*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2019 T2*2019-01-01*2019-06-30*7, en una escala del 1 al 7*3.4800000000000004*1.37**8575.52*409.0*0.0*6012523.0*False*548.9511*0.38*0.0*0.38*0.020000000000000004****True*T*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2019 T4*2019-07-01*2019-12-31*7, en una escala del 1 al 7*2.49*0.71**10928.52*400.0*0.0*6187881.0*False*579.6158*0.38*0.0*0.38*0.020000000000000004****True*T*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2019*2019-01-01*2019-12-31*7, en una escala del 1 al 7*1.995*0.9550000000000001**68.235*13.0*0.0*32164.0*False*616.8999*0.75*0.0*0.75*0.1****True*Y*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2019 T2*2019-01-01*2019-06-30*7, en una escala del 1 al 7*3.4800000000000004*1.37**60.06999999999999*12.0*0.0*49086.0*False*582.0543*0.18*0.0*0.18*0.020000000000000004****True*T*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2019 T4*2019-07-01*2019-12-31*7, en una escala del 1 al 7*2.49*0.71**10.040000000000006*5.0*0.0*32164.0*False*616.8999*0.19*0.0*0.19*0.020000000000000004****True*T*2019
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*2.4400000000000004*0.17**6568.509999999999*331.0*0.0*3680497.0*False*546.6972*0.38*0.0*0.38*0.020000000000000004****True*T*2020
BANKINTER FINANZAS GLOBALES, FI*CLASE C*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*2.4400000000000004*0.17**25.03*5.0*0.0*17708.0*False*586.2546*0.19*0.0*0.19*0.030000000000000002****True*T*2020
