fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2011*2011-01-01*2011-12-31*MUY ALTO*0.06*0.42000000000000004**2427475.81*55.0*0.0*3984599.0*False*0.8748***1.25*0.09****False*Y*2011
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2016 T2*2016-01-01*2016-06-30*MUY ALTO*0.6799999999999999*0.0**5008198.859999999*126.0*0.0*7567305.0*False*1.5223*0.41**0.41*0.03****False*T*2016
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2016 T4*2016-07-01*2016-12-31*MUY ALTO*0.020000000000000018*-0.01**4721039.72*123.0*0.0*8400317.0*False*1.7275*0.42**0.42*0.03****False*T*2016
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2017*2017-01-01*2017-12-31*MUY ALTO*1.38*0.135**4508421.37*117.5*0.0*8255790.0*False*1.8833*1.65**1.65*0.12****False*Y*2017
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2017 T2*2017-01-01*2017-06-30*MUY ALTO*2.61*0.06**4605488.930000001*115.0*0.0*8382120.0*False*1.8092*0.41**0.41*0.03****False*T*2017
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2017 T4*2017-07-01*2017-12-31*MUY ALTO*1.0*0.32**4206959.72*116.0*0.0*8255790.0*False*1.8833*0.41**0.41*0.03****False*T*2017
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2018 T2*2018-01-01*2018-06-30*MUY ALTO*1.2199999999999998*7.21**5121572.650000001*116.0*0.0*9253982.0*False*1.9234*0.41**0.41*0.03****False*T*2018
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2019*2019-01-01*2019-12-31*MUY ALTO*1.25*0.7**4831329.82*131.5*0.0*9194054.0*False*1.986*1.65**1.65*0.12****False*Y*2019
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2019 T2*2019-01-01*2019-06-30*MUY ALTO*1.65*0.6599999999999999**5030671.779999999*138.0*0.0*9175129.0*False*1.8229*0.41**0.41*0.03****False*T*2019
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2019 T4*2019-07-01*2019-12-31*MUY ALTO*1.3000000000000003*0.47000000000000003**4313868.529999999*126.0*0.0*9194054.0*False*1.986*0.41**0.41*0.03****False*T*2019
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2020*2020-01-01*2020-12-31*MUY ALTO*1.1*0.11**4793181.744999999*133.0*0.0*9067566.0*False*1.9393*1.65**1.65*0.12****False*Y*2020
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2020 T2*2020-01-01*2020-06-30*MUY ALTO*1.4600000000000002*0.020000000000000018**4910706.549999999*131.0*0.0*8320565.0*False*1.6944*0.41**0.41*0.03****False*T*2020
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2020 T4*2020-07-01*2020-12-31*MUY ALTO*1.2100000000000002*0.02**4466389.93*141.0*0.0*9067566.0*False*1.9393*0.42**0.42*0.03****False*T*2020
