fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2017 T2*2017-01-01*2017-06-30*6 en una escala del 1 al 7*0.039999999999999994*-0.1*-0.1*3480000.0*3489.0*-0.36*122303000.0*False*35.1446*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2017
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2017 T4*2017-07-01*2017-12-31*6 en una escala del 1 al 7*0.16*-0.11000000000000001*-0.11000000000000001*3060000.0*5412.0*0.0*114950000.0*False*35.1528*0.04*0.0*0.04*0.019999999999999997****False*T*2017
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCIÓN EUROSTOXX 50 ETF FI COTIZADO ARMONIZADO*2018 T2*2018-01-01*2018-06-30*6 en una escala del 1 al 7*0.29000000000000004*-0.11000000000000001*-0.11000000000000001*3000000.0*4588.0*0.0*104282000.0*False*34.7608*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2018
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCIÓN EUROSTOXX 50 ETF FI COTIZADO ARMONIZADO*2018 T2*2018-01-01*2018-06-30*6 en una escala del 1 al 7*0.29000000000000004*-0.11000000000000001*-0.11000000000000001*3000000.0*4588.0*0.0*104282000.0*False*34.7608*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2018
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2019*2019-01-01*2019-12-31*6 en una escala del 1 al 7*0.015*-0.08499999999999999*-0.08499999999999999*2775000.0*4611.5*1.03*95921000.0*True*37.6161*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCIÓN EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*2019 T2*2019-01-01*2019-06-30*6 en una escala del 1 al 7*0.01*-0.09000000000000001*-0.09000000000000001*3000000.0*4582.0*0.0*106606000.0*False*35.5355*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2019 T4*2019-07-01*2019-12-31*6 en una escala del 1 al 7*0.02*-0.13*-0.13*2100000.0*4578.0*0.0*95921000.0*True*37.6161*0.04*0.0*0.04*0.019999999999999997****False*T*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2019*2019-01-01*2019-12-31*6 en una escala del 1 al 7*0.015*-0.08499999999999999*-0.08499999999999999*2775000.0*4611.5*1.03*95921000.0*True*37.6161*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCIÓN EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*2019 T2*2019-01-01*2019-06-30*6 en una escala del 1 al 7*0.01*-0.09000000000000001*-0.09000000000000001*3000000.0*4582.0*0.0*106606000.0*False*35.5355*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2019 T4*2019-07-01*2019-12-31*6 en una escala del 1 al 7*0.02*-0.13*-0.13*2100000.0*4578.0*0.0*95921000.0*True*37.6161*0.04*0.0*0.04*0.019999999999999997****False*T*2019
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2020*2020-01-01*2020-12-31*6 en una escala del 1 al 7*0.10500000000000001*-0.12*-0.12*3000000.0*5107.0*0.88*101572000.0*True*35.6392*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2020
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2020 T2*2020-01-01*2020-06-30*6 en una escala del 1 al 7*0.01*-0.24*-0.24*3150000.0*5252.0*0.25*103434000.0*True*32.8361*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2020
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2020 T4*2020-07-01*2020-12-31*6 en una escala del 1 al 7*0.27*-0.12*-0.12*2850000.0*4970.0*0.0*101572000.0*True*35.6392*0.04*0.0*0.04*0.019999999999999997****False*T*2020
