fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009*2009-01-01*2009-12-31*muy alto*0.06*0.36**1056570.8800000001*556.0*0.0*4323318.0*False*4.5680000000000005***2.26*0.1****False*Y*2009
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009 T4*2009-07-01*2009-12-31*muy alto*-0.02*0.36**803257.49*484.0*0.0*4323318.0*False*4.5680000000000005***0.57*0.030000000000000002****False*T*2009
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2011 T4*2011-07-01*2011-12-31*Muy alto*0.02*0.36**861810.44*444.0*0.0*4689667.0*False*4.9069***0.5599999999999999*0.020000000000000004****False*T*2011
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2012 T2*2012-01-01*2012-06-30*Muy alto*0.11*0.12**944137.4999999999*436.0*0.0*5092274.0*False*5.4136*0.56*0.0*0.56*0.030000000000000002****False*T*2012
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2013*2013-01-01*2013-12-31*6 (En una escala del 1 al 7)*0.0*0.01**1232940.665*560.5*0.0*9385213.0*False*7.2101*2.25*0.0*2.25*0.1****False*Y*2013
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2013 T2*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*0.02**1383968.72*587.0*0.0*7968737.0*False*6.8447*0.56*0.0*0.56*0.030000000000000002****False*T*2013
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2013 T4*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.0*-0.009999999999999998**1434782.6400000001*688.0*0.0*9385213.0*False*7.2101*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2013
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*0.07**1394998.8699999999*620.0*0.0*9974356.0*False*7.0841*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2014
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.0**1833145.81*716.0*0.0*17262326.0*False*9.0236*2.25*0.0*2.25*0.1****False*Y*2015
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1851742.2000000002*725.0*0.0*16195389.0*False*9.2372*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2015
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.0**2060014.4500000002*753.0*0.0*17262326.0*False*9.0236*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2015
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*-0.025**1697949.8900000001*697.5*0.0*15761237.0*False*9.5049*2.25*0.0*2.25*0.1****False*Y*2016
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1743185.7700000003*706.0*0.0*13869050.0*False*7.9814*0.56*0.0*0.56*0.030000000000000002****False*T*2016
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*-0.1**1602430.68*644.0*0.0*15761237.0*False*9.5049*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2016
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017*2017-01-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1539863.635*665.0*0.0*14793431.0*False*9.6908*2.25*0.0*2.25*0.1****False*Y*2017
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1408916.2899999998*659.0*0.0*14722672.0*False*9.479*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2017
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 T4*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1506809.4200000002*645.0*0.0*14793431.0*False*9.6908*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2017
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1397296.6600000001*665.5*0.0*11023521.0*False*8.1238*2.25*0.0*2.25*0.1****False*Y*2018
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1380689.57*640.0*0.0*13438359.0*False*9.3475*0.56*0.0*0.56*0.030000000000000002****False*T*2018
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1307402.4300000002*638.0*0.0*11023521.0*False*8.1238*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2018
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019*2019-01-01*2019-12-31*6 (En una escala del 1 al 7)*0.0*-0.35**1243946.565*620.5*0.0*11528114.0*False*9.6046*2.25*0.0*2.25*0.1****False*Y*2019
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 T2*2019-01-01*2019-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1239092.38*625.0*0.0*11552941.0*False*8.9723*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2019
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 T4*2019-07-01*2019-12-31*6 (En una escala del 1 al 7)*0.0*-0.5**1194153.98*595.0*0.0*11528114.0*False*9.6046*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2019
