fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009*2009-01-01*2009-12-31*medio-alto*0.13*0.36**813942.7949999999*569.0*0.0*5793922.0*False*6.8824***2.25*0.09****False*Y*2009
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alto*0.0*0.12**915949.0999999999*601.0*0.0*5793922.0*False*6.8824***0.5599999999999999*0.02****False*T*2009
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2013 T4*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.14*1.94**705177.17*3.0*0.0*6490922.0*False*9.9162*0.19*0.0*0.19*0.030000000000000002****True*T*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*2.07**3248811.19*1719.0*0.0*32117908.0*False*11.0141*0.5700000000000001*0.0*0.5700000000000001*0.020000000000000004****True*T*2014
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*2.07**46174.22*1.0*0.0*512328.0*False*11.0955*0.42*0.0*0.42*0.020000000000000004****True*T*2014
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*2.07**656098.99*3.0*0.0*7467527.0*False*11.3817*0.19*0.0*0.19*0.020000000000000004****True*T*2014
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.9199999999999999*0.5650000000000001**2748225.69*1580.0*0.0*33502599.0*False*11.4224*2.25*0.0*2.25*0.1****True*Y*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*1.67*0.42000000000000015**2563561.94*1512.0*0.0*29658613.0*False*11.5701*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.76*0.19000000000000003**3197795.9899999998*1787.0*0.0*33502599.0*False*11.4224*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.9199999999999999*0.5650000000000001**0.0*0.0*0.0*0.0*False*11.6436*0.0*0.0*0.0*0.0****True*Y*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*1.67*0.42000000000000015**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.76*0.19000000000000003**0.0*0.0*0.0*0.0*False*11.6436*0.0*0.0*0.0*0.0****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.9199999999999999*0.5650000000000001**490484.66500000004*2.5*0.0*4074036.0*False*12.0795*0.75*0.0*0.75*0.1****True*Y*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*1.67*0.42000000000000015**725409.2500000001*4.0*0.0*7816606.0*False*12.1432*0.19*0.0*0.19*0.020000000000000004****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.76*0.19000000000000003**30832.53999999992*1.0*0.0*4074036.0*False*12.0795*0.19*0.0*0.19*0.030000000000000002****True*T*2015
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**2968810.9050000003*1771.0*0.0*35957194.0*False*11.9508*1.75*0.0*1.75*0.03****True*Y*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*-18.43*0.0**2989812.68*1760.0*0.0*30776539.0*False*10.508*0.42000000000000004*0.0*0.42000000000000004*0.0****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**2977709.5500000003*1858.0*0.0*35957194.0*False*11.9508*0.42*0.0*0.42*0.0****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**49005.6*1.5*0.0*1202006.0*False*12.264000000000001*0.04*0.0*0.04*0.06****True*Y*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*-18.43*0.0**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**196022.4*6.0*0.0*1202006.0*False*12.264000000000001*0.04*0.0*0.04*0.06****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0.0*0.0*0.0*False*0.0*0.28*0.0*0.28*0.0****True*Y*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*-18.43*0.0**0.0*0.0*0.0*0.0*False*0.0*0.14*0.0*0.14*0.0****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2016
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017*2017-01-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.2**3178602.075*2027.5*0.0*49770479.0*False*14.9679*1.7*0.0*1.7*0.02****True*Y*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**3019240.1500000004*2010.0*0.0*41771228.0*False*13.7766*0.42*0.0*0.42*0.0****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 T4*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**3533462.78*2227.0*0.0*49770479.0*False*14.9679*0.43*0.0*0.43*0.0****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017*2017-01-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.2**238575.88*7.5*0.0*4106167.0*False*15.4548*0.99*0.0*0.99*0.04****True*Y*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**236621.52000000002*8.0*0.0*2998743.0*False*14.181*0.25*0.0*0.25*0.01****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 T4*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**330225.0199999999*10.0*0.0*4106167.0*False*15.4548*0.25*0.0*0.25*0.01****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017*2017-01-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.2**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*Y*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0.0*0.0*0.0*False*14.8569*0.0*0.0*0.0*0.0****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 T4*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2017
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**3520897.3150000004*2288.5*0.0*38618886.0*False*11.189*1.7*0.0*1.7*0.03****True*Y*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**3729496.8300000005*2403.0*0.0*51567704.0*False*14.3631*0.42*0.0*0.42*0.0****True*T*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**3386195.72*2241.0*0.0*38618886.0*False*11.189*0.43*0.0*0.43*0.01****True*T*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**291551.5*10.5*0.0*3205376.0*False*11.6556*1.0*0.0*1.0*0.02****True*Y*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**308095.63*10.0*0.0*4585695.0*False*14.884*0.25*0.0*0.25*0.0****True*T*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**254090.56*12.0*0.0*3205376.0*False*11.6556*0.25*0.0*0.25*0.0****True*T*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**191041.08000000002*126.5*0.0*1866479.0*False*12.3449*0.4*0.0*0.4*0.04****True*Y*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**329531.65*148.0*0.0*3624050.0*False*15.6961*0.19*0.0*0.19*0.019999999999999997****True*T*2018
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**62828.859999999986*134.0*0.0*1866479.0*False*12.3449*0.1*0.0*0.1*0.0****True*T*2018
