fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 2 2014*2014-07-01*2014-12-31*4630**n.d.*Medio*0.4*0.0**1126558.49*362*0.0*6824452*false*6.0578*0.68*-0.04*0.64*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 2 2014*2014-07-01*2014-12-31*4630**n.d.*Medio*0.4*0.0**1678967.64*38*0.0*10309642*false*6.1405*0.16*0.0*0.16*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 2 2014*2014-07-01*2014-12-31*4630**n.d.*Medio*0.4*0.0**6150180.34*51*0.0*37401677*false*6.0814*0.5*-0.03*0.47*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**586328.28*253*0.0*3342470*false*5.7007*0.68*0.0*0.68*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**1409571.81*36*0.0*8313508*false*5.8979*0.17*0.0*0.17*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**5294927.8*35*0.0*30515830*false*5.7632*0.5*0.0*0.5*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 3 2016*2016-07-01*2016-09-30*4630**n.d.*Medio*0.04*0.0**751979.47*266*0.0*4312527*false*5.7349*0.34*0.0*0.34*0.03*-0.6*0.74*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 3 2016*2016-07-01*2016-09-30*4630**n.d.*Medio*0.04*0.0**1508251.8*36*0.0*8926064*false*5.9182*0.08*0.0*0.08*0.03*-0.34*0.74*0.12*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 3 2016*2016-07-01*2016-09-30*4630**n.d.*Medio*0.04*0.0**5574858.01*36*0.0*32293920*false*5.7928*0.25*0.0*0.25*0.03*-0.51*0.74*0.29*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 1 2016*2016-01-01*2016-06-30*4630**n.d.*Medio*0.69*0.0**761209.72*273*0.0*4391770*false*5.7695*0.67*0.0*0.67*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
