fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**39486320.1*917*0.0*311940391*false*7.9*0.06*0.0*0.06*0.01*0.0*0.1*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**92036193.51*53851*0.0*722780786*false*7.8532*0.03*0.0*0.03*0.01*0.02*0.1*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**21863109.98*59*0.0*174382585*false*7.9761*0.03*0.0*0.03*0.01*0.02*0.1*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**27720695.38*203*0.0*220793538*false*7.9649*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**279800941.74*91863*0.0*2173278688*false*7.7672*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**85296704.67*5427*0.0*668559746*false*7.838*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**38699824.93*898*0.0*305736323*false*7.9002*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**85132396.7*49331*0.0*668415535*false*7.8515*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.34*0.04**26866350.17*56*0.0*214241175*false*7.9743*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**33608047.23*213*0.0*267713385*false*7.9658*0.06*0.0*0.06*0.01*0.05*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**283967806.03*94387*0.0*2205874106*false*7.768*0.06*0.0*0.06*0.01*0.05*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**78067402.77*5046*0.0*611960964*false*7.8389*0.06*0.0*0.06*0.01*0.05*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**37784959.46*893*0.0*298539985*false*7.901*0.06*0.0*0.06*0.01*0.05*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**67767290.45*42066*0.0*531998633*false*7.8504*0.03*0.0*0.03*0.01*0.07*0.09*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2016*2016-01-01*2016-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.19*0.06**22305621.41*58*0.0*177847117*false*7.9732*0.03*0.0*0.03*0.01*0.07*0.09*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.04*0.1*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.04*0.1*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.04*0.1*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.04*0.1*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.14*0.1*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2016*2016-01-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.57*-0.03**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.14*0.1*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**28456243.26*206*0.0*226334757*false*7.9538*0.06*0.0*0.06*0.01*-0.07*0.06*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**305756893.4*101103*0.0*2371566823*false*7.7564*0.06*0.0*0.06*0.01*-0.07*0.06*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**139984351.35*10333*0.0*1095674811*false*7.8271*0.06*0.0*0.06*0.01*-0.07*0.05*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**43669503.34*928*0.0*344514443*false*7.8891*0.06*0.0*0.06*0.01*-0.07*0.05*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**94529993.37*131819*0.0*742344192*false*7.853*0.02*0.0*0.02*0.0*-0.03*0.05*0.02*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2017*2017-07-01*2017-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.05*-0.36**18668803.16*43*0.0*148848985*false*7.9731*0.03*0.0*0.03*0.01*-0.04*0.05*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**31459404.03*212*0.0*250393851*false*7.9593*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**318661636.1*104358*0.0*2473366354*false*7.7617*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**152053059.71*11186*0.0*1190959085*false*7.8325*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**46231951.0*991*0.0*364981610*false*7.8946*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**69090072.3*117072*0.0*542720368*false*7.8553*0.05*0.0*0.05*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2017*2017-01-01*2017-06-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.01*-0.35**25081465.48*53*0.0*200065303*false*7.9766*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**39094599.92*239*0.0*311339478*false*7.9637*0.06*0.0*0.06*0.01*-0.02*0.06*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**330006358.11*106599*0.0*2562868622*false*7.7661*0.06*0.0*0.06*0.01*-0.02*0.07*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**162084971.54*11677*0.0*1270251201*false*7.8369*0.06*0.0*0.06*0.01*-0.02*0.07*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**52867422.33*1089*0.0*417601133*false*7.899*0.06*0.0*0.06*0.01*-0.02*0.07*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**46921577.97*90977*0.0*368644103*false*7.8566*0.03*0.0*0.03*0.01*0.01*0.06*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2017*2017-01-01*2017-03-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*-0.34**28403079.82*53*0.0*226631747*false*7.9791*0.03*0.0*0.03*0.01*0.01*0.06*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**17043891.49*143*0.0*134742142*false*7.9056*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**230425463.61*78098*0.0*1776438401*false*7.7094*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**91876110.28*6393*0.0*714769016*false*7.7797*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**28986633.66*685*0.0*227293689*false*7.8413*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**146930989.14*234028*0.0*1149158757*false*7.8211*0.04*0.0*0.04*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2018*2018-07-01*2018-12-31*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.2*-0.36**9989778.88*31*0.0*79267285*false*7.9348*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**15263239.12*135*0.0*120815295*false*7.9154*0.06*0.0*0.06*0.01*-0.06*0.11*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**225507338.31*79394*0.0*1740685499*false*7.719*0.06*0.0*0.06*0.01*-0.06*0.11*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**83973225.15*6219*0.0*654100227*false*7.7894*0.06*0.0*0.06*0.01*-0.06*0.11*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**24648829.08*620*0.0*193520386*false*7.8511*0.06*0.0*0.06*0.01*-0.06*0.11*0.07*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**191504217.97*229249*0.0*1499021313*false*7.8276*0.02*0.0*0.02*0.0*-0.02*0.11*0.03*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2018*2018-07-01*2018-09-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.08*-0.36**6775483.33*26*0.0*53815951*false*7.9427*0.03*0.0*0.03*0.01*-0.03*0.11*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**17987444.99*146*0.0*142458234*false*7.9199*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**233288162.51*82224*0.0*1801753813*false*7.7233*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**85460152.9*6482*0.0*666055289*false*7.7938*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**26098575.96*649*0.0*205017246*false*7.8555*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**125628834.49*218065*0.0*983529124*false*7.8288*0.04*0.0*0.04*0.0*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2018*2018-01-01*2018-06-30*2680*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*1 - Muy bajo*0.17*-0.27**8665805.67*34*0.0*68850937*false*7.9451*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
