fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**9281019.09*6226*0.0*70573633*false*7.6041*0.27*0.0*0.27*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**2142435.13*137*0.0*16325692*false*7.6202*0.09*0.0*0.09*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**61146743.89*334*0.0*467413886*false*7.6441*0.02*0.0*0.02*0.0*[]*[]*0.03*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**96186452.06*30352*0.0*734229664*false*7.6334*0.17*0.0*0.17*0.02*[]*[]*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**19024080.1*1195*0.0*145294623*false*7.6374*0.12*0.0*0.12*0.01*[]*[]*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**43024891.05*1230*0.0*328749594*false*7.6409*0.08*0.0*0.08*0.01*[]*[]*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**10144680.06*6631*0.0*77480090*false*7.6375*0.11*0.0*0.11*0.01*[]*[]*0.13*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2012*2012-01-01*2012-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*0.51*0.43**2206686.53*153*0.0*16868443*false*7.6442*0.04*0.0*0.04*0.0*[]*[]*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA RENDIMIENTO CORTO PLAZO 1, FI*63050835*Semester 2 2011*2011-07-01*2011-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Medio*1.01*1.02**233728299.13*6*0.0*1767138355*false*7.5607*0.0*0.0*0.0*0.0*0.86*0.49*0.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**47721039.3*267*0.0*376859383*false*7.8971*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
