fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2014*2014-01-01*2014-03-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.02*0.17**1694896.1*1225*0.0*12259990*false*7.2335*0.36*0.0*0.36*0.04*0.99*5.98*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2015*2015-07-01*2015-12-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.4*0.05**5825432.59*2662*0.0*45165153*false*7.7531*0.73*0.0*0.73*0.08*2.14*7.95*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2015*2015-07-01*2015-09-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.21*0.05**5440176.52*2479*0.0*41292596*false*7.5903*0.37*0.0*0.37*0.04*-2.94*11.64*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2015*2015-01-01*2015-06-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.17*0.04**5045584.21*2366*0.0*39456753*false*7.8201*0.72*0.0*0.72*0.07*-2.83*8.35*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2015*2015-01-01*2015-03-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.06*0.04**4024620.96*2006*0.0*32388941*false*8.0477*0.36*0.0*0.36*0.04*7.39*7.35*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2016*2016-07-01*2016-09-30*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.2*0.14**5315890.66*2453*0.0*40530987*false*7.6245*0.36*0.0*0.36*0.04*0.5*5.55*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2016*2016-01-01*2016-06-30*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.14*0.12**5476171.14*2507*0.0*41543590*false*7.5862*0.72*0.0*0.72*0.07*0.5*9.86*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2016*2016-01-01*2016-03-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.09*0.1**5619942.22*2581*0.0*42421742*false*7.5484*0.36*0.0*0.36*0.04***0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2015*2015-07-01*2015-12-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.4*0.05**5825432.59*2662*0.0*45165153*false*7.7531*0.73*0.0*0.73*0.08*2.14*7.95*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2016*2016-01-01*2016-12-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.38*0.13**************1.62*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
