fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I. B*2019 S 1*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.22*-0.21**12573684.3*141*0.0*105588863*false*8.3976*0.17*0.0*0.17*0.02*-0.75*1.1*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I. L*2019 S 1*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.22*-0.21**586045.48*6*0.0*4923969*false*8.402*0.15*0.0*0.15*0.02*-0.73*1.1*0.1
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA  A*2019 T 1*2019-01-01*2019-03-31*3, en una escala del 1 al 7*0.13*-0.04**496572.91*29*0.0*4181932*false*8.4216*0.22*0.0*0.22*0.01*1.15*2.32*0.24
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA  B*2019 T 1*2019-01-01*2019-03-31*3, en una escala del 1 al 7*0.13*-0.04**11601652.83*154*0.0*98158157*false*8.4607*0.09*0.0*0.09*0.01*1.28*2.32*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA  L*2019 T 1*2019-01-01*2019-03-31*3, en una escala del 1 al 7*0.13*-0.04**565020.6*5*0.0*4782391*false*8.4641*0.07*0.0*0.07*0.01*1.3*2.32*0.1
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2020 S 2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.53*-0.38**55026.06*8*0.0*434149*false*7.8899*0.46*0.0*0.46*0.03*1.87*4.49*0.26
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2020 S 2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.53*-0.38**8841061.04*79*0.0*70757957*false*8.0033*0.18*0.0*0.18*0.03*2.01*4.5*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2020 S 2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.53*-0.38**496520.8*5*0.0*3978903*false*8.0136*0.15*0.0*0.15*0.03*2.03*4.5*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2020 T 3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.2*-0.38**186394.74*15*0.0*1443583*false*7.7448*0.23*0.0*0.23*0.01*-0.1*2.41*0.27
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2020 T 3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.2*-0.38**9658711.5*93*0.0*75775329*false*7.8453*0.09*0.0*0.09*0.01*0.04*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-82161365_da"" decimals=""2"" unitref=""pure"">2.41</iic-com-fon:volatilidadvalorliquidativo>]"*0.13
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2020 T 3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.2*-0.38**515495.84*5*0.0*4048874*false*7.8543*0.08*0.0*0.08*0.01*0.05*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-82161365_da"" decimals=""2"" unitref=""pure"">2.41</iic-com-fon:volatilidadvalorliquidativo>]"*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2020 S 1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.53*-0.35**231047.68*17*0.0*1791142*false*7.7523*0.45*0.0*0.45*0.02*2.6*3.38*0.26
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2020 S 1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.53*-0.35**9952159.17*97*0.0*78045143*false*7.842*0.17*0.0*0.17*0.02*2.74*3.4*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2020 S 1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.53*-0.35**528227.67*5*0.0*4146633*false*7.8501*0.15*0.0*0.15*0.02*2.75*3.4*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2020 T 1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.2*-0.37**314328.76*17*0.0*2375003*false*7.5558*0.22*0.0*0.22*0.01*-8.42*12.33*0.25
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2020 T 1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.2*-0.37**10744676.25*101*0.0*82012394*false*7.6328*0.09*0.0*0.09*0.01*-8.3*12.32*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2020 T 1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.2*-0.37**528227.67*5*0.0*4035517*false*7.6397*0.07*0.0*0.07*0.01*-8.29*12.32*0.1
