fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2019 T3*2019-07-01*2019-09-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**7408.18*246*0.0*5373758*false*725.3817*0.14*0.0*0.14*0.03*0.74*0.8*0.17*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2019 S1*2019-01-01*2019-06-30*Valor 2, en una escala de 1 al 7.*0.13*0.0**112963.67*2547*0.0*80843142*false*715.6561*0.45*0.0*0.45*0.1*0.7*0.83*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2019 S1*2019-01-01*2019-06-30*Valor 2, en una escala de 1 al 7.*0.13*0.0**7009.52*234*0.0*5047050*false*720.0283*0.27*0.0*0.27*0.05*0.81*0.83*0.16*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2019 T1*2019-01-01*2019-03-31*Valor 2, en una escala de 1 al 7.*0.15*0.0**101071.21*2366*0.0*71830821*false*710.6952*0.22*0.0*0.22*0.05*2.28*0.98*0.27*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2019 T1*2019-01-01*2019-03-31*Valor 2, en una escala de 1 al 7.*0.15*0.0**5820.74*201*0.0*4157379*false*714.2352*0.14*0.0*0.14*0.02*2.39*0.98*0.16*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2020 S2*2020-07-01*2020-12-31*Valor 2, en una escala de 1 al 7.*0.05*-0.09**127517.15*2838*0.0*91375603*false*716.575*0.45*0.0*0.45*0.1*0.68*0.77*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2020 S2*2020-07-01*2020-12-31*Valor 2, en una escala de 1 al 7.*0.05*-0.09**41022.64*1984*0.0*29806202*false*726.5794*0.18*0.0*0.18*0.05*0.85*0.77*0.12*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2020 T3*2020-07-01*2020-09-30*Valor 2, en una escala de 1 al 7.*0.0*-0.11**130944.4*2893*0.0*93195275*false*711.7164*0.23*0.0*0.23*0.05*1.0*1.0*0.27*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2020 T3*2020-07-01*2020-09-30*Valor 2, en una escala de 1 al 7.*0.0*-0.11**43461.85*1914*0.0*31313165*false*720.4747*0.09*0.0*0.09*0.03*1.16*1.0*0.11*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2020 S1*2020-01-01*2020-06-30*Valor 2, en una escala de 1 al 7.*0.17*-0.08**132848.59*2913*0.0*93617028*false*704.6897*0.45*0.0*0.45*0.1*2.8*1.85*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2020 S1*2020-01-01*2020-06-30*Valor 2, en una escala de 1 al 7.*0.17*-0.08**11048.37*292*0.0*7868617*false*712.1969*0.27*0.0*0.27*0.05*2.92*1.85*0.16*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER A, FI*2020 T1*2020-01-01*2020-03-31*Valor 2, en una escala de 1 al 7.*0.14*-0.09**131884.35*2945*0.0*90402641*false*685.4691*0.22*0.0*0.22*0.05*-4.57*4.25*0.28*True
CAJA INGENIEROS PREMIER, FI*CI PREMIER I, FI*2020 T1*2020-01-01*2020-03-31*Valor 2, en una escala de 1 al 7.*0.14*-0.09**8661.51*284*0.0*5993741*false*691.9969*0.14*0.0*0.14*0.02*-4.46*4.25*0.16*True
