fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 S2*2009-07-01*2009-12-31*medio-alta*0.29*0.36**892846.06*515*0.0*12535290*false*14.0397***0.33*0.09*2.3*11.25*0.27*False
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 T3*2009-07-01*2009-09-30*medio-alta*0.06*0.07**852982.7*503*0.0*11706277*false*13.7239***0.16*0.05*17.46*15.4*0.26*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 S1*2012-01-01*2012-06-30*Alto*0.0*0.24**924010.64*497*0.0*12846186*false*13.9026*0.32*0.0*0.32*0.1*-5.34*18.79*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 T1*2012-01-01*2012-03-31*Alto*0.0*0.24**922528.76*497*0.0*13548476*false*14.6862*0.16*0.0*0.16*0.05*8.74*13.83*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 T3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.0*0.96**1024471.13*520*0.0*18570255*false*18.1267*0.16*0.0*0.16*0.05*9.73*10.63*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 S1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.03*1.09**959241.96*521*0.0*15846758*false*16.5201*0.32*0.0*0.32*0.1*-0.2*14.12*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 T1*2013-01-01*2013-03-31*Alto*0.03*1.21**943384.52*503*0.0*15615889*false*16.553*0.16*0.0*0.16*0.05*4.46*10.79*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 S2*2012-07-01*2012-12-31*Alto*0.05*0.6**906276.3*485*0.0*14361359*false*15.8466*0.33*0.0*0.33*0.1*6.41*10.22*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2014 T3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*0.48**1455770.69*664*0.0*29383765*false*20.1843*0.16*0.0*0.16*0.05*-0.36*11.51*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2014 S1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.05*0.84**1367793.58*641*0.0*27708360*false*20.2577*0.32*0.0*0.32*0.1*1.95*8.84*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2014 T1*2014-01-01*2014-03-31*6 (En una escala del 1 al 7)*0.07*0.72**1253030.1*605*0.0*24898166*false*19.8704*0.16*0.0*0.16*0.05*3.35*12.07*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 S2*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.0*0.96**1144077.09*565*0.0*21996193*false*19.2261*0.33*0.0*0.33*0.1*6.07*9.0*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 S2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.1**2105145.97*744*0.0*44006931*false*20.9045*0.33*0.0*0.33*0.1*4.9*15.76*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 T3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.0*0.12**2021086.02*742*0.0*40277329*false*19.9286*0.16*0.0*0.16*0.05*-10.56*23.07*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 S1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.15**1804983.71*739*0.0*40217001*false*22.2811*0.32*0.0*0.32*0.1*-4.24*14.35*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 T1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*0.28**1570964.46*720*0.0*36552329*false*23.2674*0.16*0.0*0.16*0.05*14.11*12.52*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2016 S2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.08*0.08**2081083.62*709*0.0*44793395*false*21.5241*0.33*0.0*0.33*0.05*8.16*11.18*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2016 T3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.06*0.08**2108097.94*727*0.0*41953183*false*19.901*0.16*0.0*0.16*0.05*6.1*15.12*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2016 S1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.03*0.1**2109071.22*736*0.0*39557722*false*18.756*0.32*0.0*0.32*0.1*-4.04*25.85*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2016 T1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.04*0.1**2124345.9*748*0.0*41522657*false*19.5461*0.16*0.0*0.16*0.05*-6.5*24.01*0.21*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2017 T3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.06*0.0**2342601.32*724*0.0*56024719*false*23.9156*0.16*0.0*0.16*0.02*1.39*10.19*0.19*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2017 S1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.04**2356147.81*719*0.0*55577276*false*23.5882*0.32*0.0*0.32*0.04*2.59*9.67*0.19*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2017 T1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.09**2362532.98*728*0.0*54322220*false*22.9932*0.16*0.0*0.16*0.02*6.83*9.14*0.18*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2018 S2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.13*0.0**2461919.44*781*0.0*50305916*false*20.4336*0.33*0.0*0.33*0.04*-12.52*15.92*0.19*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2018 T3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.08*0.0**2477128.06*792*0.0*57863093*false*23.3589*0.16*0.0*0.16*0.02*-1.52*8.31*0.19*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2018 S1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*0.0**2488347.2*797*0.0*59024141*false*23.7202*0.32*0.0*0.32*0.04*1.61*10.59*0.18*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2018 T1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*0.0**2428695.67*772*0.0*56695000*false*23.344*0.16*0.0*0.16*0.02*-3.54*12.68*0.18*False
