fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 2 2017*2017-07-01*2017-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**10079604.54*2860*0.0*108070646*false*10.7217*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 1 2018*2018-01-01*2018-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**12655373.41*3510*0.0*135197844*false*10.683*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 1 2018*2018-01-01*2018-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1526060.53*55*0.0*16375258*false*10.7304*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 1 2018*2018-01-01*2018-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.01*0.0**11567933.48*3221*0.0*119721483*false*10.3494*0.22*0.0*0.22*0.02*-3.47*10.15*0.59*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 1 2018*2018-01-01*2018-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.01*0.0**1528963.76*58*0.0*15878113*false*10.3849*0.12*0.0*0.12*0.02*-3.38*10.15*0.49*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 2 2019*2019-07-01*2019-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**8671530.32*2735*0.0*87123792*false*10.0471*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 2 2019*2019-07-01*2019-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**1534465.7*43*0.0*15580995*false*10.154*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 3 2019*2019-07-01*2019-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**9995999.76*3053*0.0*93462378*false*9.35*0.23*0.0*0.23*0.02*-3.66*12.42*0.66*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 3 2019*2019-07-01*2019-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1608791.74*47*0.0*15186772*false*9.4399*0.13*0.0*0.13*0.02*-3.56*12.42*0.56*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 1 2019*2019-01-01*2019-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**11012586.31*3347*0.0*106873679*false*9.7047*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 1 2019*2019-01-01*2019-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1585239.56*51*0.0*15516479*false*9.7881*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 1 2019*2019-01-01*2019-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**11859890.36*3454*0.0*116834284*false*9.8512*0.22*0.0*0.22*0.02*9.55*10.6*0.61*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 1 2019*2019-01-01*2019-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1649877.74*52*0.0*16376668*false*9.926*0.12*0.0*0.12*0.02*9.66*10.6*0.51*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 3 2020*2020-07-01*2020-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.04*-0.32**5657390.13*1966*0.0*41545927*false*7.3437*0.23*0.0*0.23*0.02*0.1*15.08*0.65*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 3 2020*2020-07-01*2020-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.04*-0.32**908737.14*22*0.0*6763072*false*7.4423*0.13*0.0*0.13*0.02*0.18*15.08*0.55*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 1 2020*2020-01-01*2020-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.31**6266276.34*2116*0.0*45971384*false*7.3363*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 1 2020*2020-01-01*2020-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.31**1313951.52*26*0.0*9760935*false*7.4287*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 1 2020*2020-01-01*2020-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.04*-0.16**7263292.13*2303*0.0*47297446*false*6.5118*0.22*0.0*0.22*0.02*-35.19*42.71*0.64*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 1 2020*2020-01-01*2020-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.04*-0.16**1344574.64*32*0.0*8857834*false*6.5878*0.12*0.0*0.12*0.02*-35.12*42.71*0.54*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 2 2019*2019-07-01*2019-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**8671530.32*2735*0.0*87123792*false*10.0471*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 2 2019*2019-07-01*2019-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**1534465.7*43*0.0*15580995*false*10.154*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
