fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2013*2013-07-01*2013-12-31*4599*N/D*ND*7 en una escala del 1al 7,*0.16*0.0**99009.79*42*0.0*984960*false*9.9481*0.95*0.0*0.95*0.05*2.36*6.16*0.68*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2016*2016-07-01*2016-12-31*4599*N/D*ND*6 en una escala del 1al 7,*0.13*-0.14**458046.71*179*0.0*5823294*false*12.7133*0.95*0.0*0.95*0.05*12.04*8.89*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2016*2016-07-01*2016-09-30*4599*N/D*ND*6 en una escala del 1al 7,*0.0*-0.16**415988.39*161*0.0*4720103*false*11.3467*0.48*0.0*0.48*0.03*2.52*9.79*0.55*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2016*2016-01-01*2016-06-30*4599*N/D*ND*6 en una escala del 1al 7,*0.79*-0.09**408944.53*157*0.0*4525902*false*11.0673*0.95*0.0*0.95*0.05*5.28*12.23*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2016*2016-01-01*2016-03-31*4599*N/D*ND*6 en una escala del 1al 7,*0.63*-0.05**403340.25*147*0.0*4239955*false*10.5121*0.47*0.0*0.47*0.02*-1.95*18.91*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2017*2017-07-01*2017-12-31*4599*N/D*ND*5 en una escala del 1al 7,*0.0*-0.14**751882.29*270*0.0*9934656*false*13.213*0.96*0.0*0.96*0.04*2.14*7.53*0.51*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2017*2017-07-01*2017-09-30*4599*N/D*ND*5 en una escala del 1 al 7,*0.09*-0.07**613491.13*233*0.0*7936280*false*12.9363*0.48*0.0*0.48*0.02*2.49*9.2*0.53*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2017*2017-01-01*2017-06-30*4599*N/D*ND*5 en una escala del 1al 7,*0.48*0.0**545945.36*218*0.0*6890833*false*12.6218*0.94*0.0*0.94*0.04*-4.3*8.51*0.52*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2017*2017-01-01*2017-03-31*4599*N/D*ND*5 en una escala del 1al 7,*0.33*-0.19**524071.1*207*0.0*6912175*false*13.1894*0.47*0.0*0.47*0.02*3.74*7.75*0.52*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2018*2018-07-01*2018-12-31*4599*N/D*ND*5 en una escala del 1 al 7,*0.79*-0.13**893306.74*330*0.0*9922320*false*11.1074*0.96*0.0*0.96*0.04*-12.82*15.94*0.51*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2018*2018-07-01*2018-09-30*4599*N/D*ND*5 en una escala del 1 al 7,*0.26*0.0**911160.3*321*0.0*11608700*false*12.7406*0.48*0.0*0.48*0.02*-1.99*9.72*0.51*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2018*2018-01-01*2018-06-30*4599*N/D*ND*5 en una escala del 1 al 7,*0.21*-0.03**922293.32*321*0.0*11989146*false*12.9993*0.94*0.0*0.94*0.04*4.66*8.28*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2018*2018-01-01*2018-03-31*4599*N/D*ND*5 en una escala del 1 al 7*0.15*-0.21**854879.36*317*0.0*10617888*false*12.4203*0.47*0.0*0.47*0.02*-6.0*9.69*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2019*2019-07-01*2019-12-31*4599*N/D*ND*5 en una escala del 1 al 7*0.6*-0.19**766262.16*325*0.0*9822704*false*12.819*0.91*0.0*0.91*0.04*5.34*9.76*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2019*2019-07-01*2019-09-30*4599*N/D*ND*5 en una escala del 1 al 7,*0.28*-0.16**897256.15*332*0.0*10918871*false*12.1692*0.45*0.0*0.45*0.02*-0.03*13.26*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2019*2019-01-01*2019-06-30*4599*N/D*ND*5 en una escala del 1 al 7,*0.64*-0.18**935601.65*340*0.0*11389301*false*12.1732*0.93*0.0*0.93*0.04*0.61*9.17*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2019*2019-01-01*2019-03-31*4599*N/D*ND*5 en una escala del 1 al 7,*0.21*-0.17**955488.95*343*0.0*11561129*false*12.0997*0.47*0.0*0.47*0.02*8.93*11.66*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2020*2020-07-01*2020-12-31*4599*N/D*ND*6 en una escala del 1al 7,*0.6*-0.32**751838.94*340*0.0*9433283*false*12.5469*0.9*0.0*0.9*0.04*10.65*12.31*0.5*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2020*2020-07-01*2020-09-30*4599*N/D*ND*6 en una escala del 1al 7,*0.34*-0.36**766081.57*336*0.0*8686828*false*11.3393*0.45*0.0*0.45*0.02*11.26*12.83*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2020*2020-01-01*2020-06-30*4599*N/D*ND*6 en una escala del 1 al 7,*1.11*-0.21**771597.09*342*0.0*7863867*false*10.1917*0.89*0.0*0.89*0.04*6.91*20.15*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2020*2020-01-01*2020-03-31*4599*N/D*ND*5 en una escala del 1 al 7*0.59*-0.22**782458.64*331*0.0*7459046*false*9.5328*0.45*0.0*0.45*0.02*-25.64*36.69*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
