fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2013 S2*2013-07-01*2013-12-31*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.45*0.09**780335.54*459*0.0*5277698*false*6.7634*1.1*0.0*1.1*0.1*7.42*7.58*0.96*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2016 S2*2016-07-01*2016-12-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.28*0.11**976228.59*751*0.0*7864212*false*8.0557*1.11*0.0*1.11*0.1*4.56*10.13*0.91*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2016 T3*2016-07-01*2016-09-30*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.43*0.12**864196.04*741*0.0*6657966*false*7.7042*0.55*0.0*0.55*0.05*6.3*9.66*0.9*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2016 S1*2016-01-01*2016-06-30*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.0*0.09**864562.18*746*0.0*6266232*false*7.2479*1.1*0.0*1.1*0.1*-0.51*12.32*0.88*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2016 T1*2016-01-01*2016-03-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.0*0.08**941856.36*787*0.0*6861304*false*7.2849*0.55*0.0*0.55*0.05*-5.71*21.32*0.99*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2017 S2*2017-07-01*2017-12-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.04*0.01**1259303.9*893*0.0*11090091*false*8.8065*1.11*0.0*1.11*0.05*2.45*7.6*0.82*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2017 T3*2017-07-01*2017-09-30*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.09*0.02**1239751.13*892*0.0*10656489*false*8.5957*0.55*0.0*0.55*0.05*2.24*8.61*0.88*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2017 S1*2017-01-01*2017-06-30*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.59*-0.01**1218821.69*905*0.0*10246848*false*8.4072*1.09*0.0*1.09*0.1*-0.84*7.18*0.87*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2017 T1*2017-01-01*2017-03-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.29*0.01**1123530.93*856*0.0*9525295*false*8.478*0.54*0.0*0.54*0.05*5.24*8.86*0.86*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2018 T3*2018-07-01*2018-09-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*0.0*-0.05**1663168.62*1000*0.0*14690816*false*8.833*0.55*0.0*0.55*0.01*2.66*6.62*0.83*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2018 S1*2018-01-01*2018-06-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*0.38*-0.06**1553187.24*971*0.0*13364086*false*8.6043*1.09*0.0*1.09*0.01*2.63*9.17*1.63*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2018 T1*2018-01-01*2018-03-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.28*0.03**1477128.5*948*0.0*12383654*false*8.3836*0.54*0.0*0.54*0.0*-4.8*13.42*0.8*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2017 S2*2017-07-01*2017-12-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.04*0.01**1259303.9*893*0.0*11090091*false*8.8065*1.11*0.0*1.11*0.05*2.45*7.6*0.82*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2019 S2*2019-07-01*2019-12-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*5 - Medio-alto*0.0*0.11**3271688.87*1857*0.0*32720025*false*10.001*1.11*0.0*1.11*0.01*5.29*10.28*0.83*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2019 T3*2019-07-01*2019-09-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*5 - Medio-alto*0.0*0.18**2527241.36*1344*0.0*24004221*false*9.4982*0.55*0.0*0.55*0.01*3.26*12.28*0.83*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2019 S1*2019-01-01*2019-06-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*5 - Medio-alto*0.0*0.25**2115701.25*1177*0.0*19460240*false*9.198*1.09*0.0*1.09*0.01*3.03*9.4*0.82*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2019 T1*2019-01-01*2019-03-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*0.08*0.35**1878810.93*1066*0.0*16773193*false*8.9276*0.54*0.0*0.54*0.0*15.51*9.79*0.82*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 S 2 *2020-07-01*2020-12-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*0.0*0.02**5143623.1*3222*0.0*61256886*false*11.9093*1.99*0.0*1.99*0.02*[]*[]*2.05*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 S 2 *2020-07-01*2020-12-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*0.0*0.02**42583.04*5*0.0*256461*false*6.0226*0.01*0.0*0.01*0.0*[]*[]*0.02*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 S 2 *2020-07-01*2020-12-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*0.0*0.02**166.66*1*0.0*1003*false*6.0229*0.0*0.0*0.0*0.0*[]*[]*0.01*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 T3*2020-07-01*2020-09-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*0.0*0.03**4008280.28*2438*0.0*42465339*false*10.5944*0.55*0.0*0.55*0.01*9.43*12.52*0.79*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 S1*2020-01-01*2020-06-30*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*5 - Medio-alto*0.27*0.01**3843948.75*2354*0.0*37214961*false*9.6814*1.09*0.0*1.09*0.01*18.52*22.6*1.59*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2020 T1*2020-01-01*2020-03-31*4582*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*5 - Medio-alto*0.04*0.03**3737458.07*2347*0.0*30530919*false*8.1689*0.54*0.0*0.54*0.0*-18.32*38.87*0.8*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
