EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2016 T1*2016-01-01*2016-03-31*7, en una escala de 1 a 7*1.92*0.0**942931.41*207*0.0*7922219*false*8.4017*0.37**0.37*0.02*-2.94*24.47*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2015 S2*2015-07-01*2015-12-31*7, en una escala de 1 a 7*2.79*0.0**943312.82*207*0.0*8165560*false*8.6563*0.76**0.76*0.04*2.83*17.19*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2017 S2*2017-07-01*2017-12-31*7, en una escala de 1 a 7*1.66*0.0**819208.96*207*0.0*7567194*false*9.2372*0.76**0.76*0.04*-0.27*11.69*0.42
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2017 T3*2017-07-01*2017-09-30*7, en una escala de 1 a 7*0.78*0.0**835195.83*207*0.0*7735647*false*9.2621*0.38**0.38*0.02*-3.64*10.12*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2017 S1*2017-01-01*2017-06-30*7, en una escala de 1 a 7*2.7*0.0**849224.49*209*0.0*8162970*false*9.6123*0.74**0.74*0.04*-1.07*8.6*0.43
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2017 T1*2017-01-01*2017-03-31*7, en una escala de 1 a 7*1.4*0.0**875711.89*212*0.0*8508750*false*9.7164*0.37**0.37*0.02*8.03*6.81*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2018 T3*2018-07-01*2018-09-30*7 en una escala de 1 a 7*0.36*0.0**796935.56*197*0.0*7354009*false*9.2279*0.38*0.0*0.38*0.02*-2.1*9.67*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2018 S1*2018-01-01*2018-06-30*7 en una escala de 1 a 7*2.38*0.0**796935.56*197*0.0*7511649*false*9.4257*0.74*0.0*0.74*0.04*3.69*11.01*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2018 T1*2018-01-01*2018-03-31*7 en una escala de 1 a 7*0.85*0.0**811166.82*197*0.0*7373436*false*9.0899*0.37*0.0*0.37*0.02*-1.59*13.2*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2019 S2*2019-07-01*2019-12-31*7 en una escala de 1 a 7*1.47*-0.07**1166905.3*278*0.0*10581048*false*9.0676*0.76*0.0*0.76*0.04*3.79*6.37*0.44
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2019 T3*2019-07-01*2019-09-30*7 en una escala de 1 a 7*0.4*0.0**1222845.37*278*0.0*10683496*false*8.7366*0.38*0.0*0.38*0.02*-0.63*6.89*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2019 S1*2019-01-01*2019-06-30*7 en una escala de 1 a 7*4.39*0.0**750857.12*192*0.0*6601292*false*8.7917*0.74*0.0*0.74*0.04*-0.65*5.14*0.43
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2019 T1*2019-01-01*2019-03-31*7 en una escala de 1 a 7*2.85*0.0**755668.43*192*0.0*6686847*false*8.8489*0.37*0.0*0.37*0.02*6.96*8.52*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2020 S2*2020-07-01*2020-12-31*7 en una escala de 1 a 7*3.08*-0.02**1140538.65*270*0.0*10055116*false*8.8161*0.75*0.0*0.75*0.04*11.39*16.03*0.42
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2020 T3*2020-07-01*2020-09-30*7 en una escala de 1 a 7*1.04*-0.04**1142953.01*270*0.0*9046215*false*7.9148*0.38*0.0*0.38*0.02*-1.97*15.05*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2020 S1*2020-01-01*2020-06-30*7 en una escala de 1 a 7*2.57*-0.05**1148863.0*270*0.0*9275571*false*8.0737*0.75*0.0*0.75*0.04*13.28*24.52*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2020 T1*2020-01-01*2020-03-31*7 en una escala de 1 a 7*1.2*-0.08**1161445.41*276*0.0*8277592*false*7.127*0.37*0.0*0.37*0.02*-21.4*37.35*0.41
