BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2014 S1*2014-01-01*2014-06-30*1, en una escala del 1 a 7*0.43*1.07**338930.18*9848*0.0*303105799*false*894.3016*0.22*0.0*0.22*0.07*0.2*0.04*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2014 T1*2014-01-01*2014-03-31*1, en una escala del 1 a 7*0.09*1.08**339708.68*9751*0.0*303194672*false*892.5138*0.11*0.0*0.11*0.04*0.29*0.08*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2015 S2*2015-07-01*2015-12-31*1, en una escala del 1 a 7*0.0*0.4**322870.33*11601*0.0*289054965*false*895.2664*0.23*0.0*0.23*0.08*-0.05*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2015 T3*2015-07-01*2015-09-30*1, en una escala del 1 a 7*0.0*0.41**350790.0*11716*0.0*314208338*false*895.7164*0.11*0.0*0.11*0.04*-0.05*0.01*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2015 S1*2015-01-01*2015-06-30*1, en una escala del 1 a 7*0.0*0.45**319621.84*11423*0.0*286425835*false*896.1398*0.22*0.0*0.22*0.07*-0.02*0.12*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2015 T1*2015-01-01*2015-03-31*1, en una escala del 1 a 7*0.0*0.45**319606.7*10628*0.0*286459479*false*896.2875*0.11*0.0*0.11*0.04*0.03*0.03*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2016 S2*2016-07-01*2016-12-31*1, en una escala del 1 a 7*0.0*0.09**275546.28*11085*0.0*245957528*false*892.6178*0.23*0.0*0.23*0.08*-0.1*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2016 T3*2016-07-01*2016-09-30*1, en una escala del 1 a 7*0.02*0.12**306244.0*11817*0.0*273623020*false*893.4804*0.11*0.0*0.11*0.04*-0.07*0.04*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2016 S1*2016-01-01*2016-06-30*1, en una escala del 1 a 7*0.08*0.22**316881.5*12155*0.0*283330052*false*894.1199*0.22*0.0*0.22*0.07*-0.07*0.03*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2016 T1*2016-01-01*2016-03-31*1, en una escala del 1 a 7*0.19*0.25**330366.6*12565*0.0*295602506*false*894.7712*0.11*0.0*0.11*0.04*-0.06*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2017 S2*2017-07-01*2017-12-31*1, en una escala del 1 a 7*0.0*0.0**144182.59*4980*0.0*127995051*false*887.7289*0.23*0.0*0.23*0.08*-0.17*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2017 T3*2017-07-01*2017-09-30*1, en una escala del 1 a 7*0.0*0.02**158513.41*5337*0.0*140954325*false*889.2265*0.11*0.0*0.11*0.04*-0.15*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2017 S1*2017-01-01*2017-06-30*1, en una escala del 1 a 7*0.11*0.06**170853.93*5575*0.0*152150355*false*890.5288*0.22*0.0*0.22*0.07*-0.12*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2017 T1*2017-01-01*2017-03-31*1, en una escala del 1 a 7*0.16*0.07**249236.4*10610*0.0*222219564*false*891.6016*0.11*0.0*0.11*0.04*-0.11*0.02*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2018 S2*2018-07-01*2018-12-31*1, en una escala del 1 a 7*0.0*-0.22**131502.41*3241*0.0*115776674*false*880.4149*0.23*0.0*0.23*0.08*-0.21*0.05*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2018 T3*2018-07-01*2018-09-30*1, en una escala del 1 al 7*0.0*-0.25**114475.26*3194*0.0*101000977*false*882.2953*0.11*0.0*0.11*0.04*-0.19*0.03*0.16
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2018 S1*2018-01-01*2018-06-30*1, en una escala del 1 a 7*0.0*-0.26**161205.45*6412*0.0*142502049*false*883.9778*0.22*0.0*0.22*0.07*-0.23*0.06*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2 FI*2018 T1*2018-01-01*2018-03-31*1, en una escala del 1 a 7*0.0*0.0**132857.12*4651*0.0*117709470*false*885.9854*0.11*0.0*0.11*0.04*-0.2*0.03*0.15
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2019 S2*2019-07-01*2019-12-31*1, en una escala del 1 a 7*0.12*-0.09**102378.3*2734*0.0*89587915*false*875.0675*0.21*0.0*0.21*0.08*-0.19*0.02*0.14
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2019 T3*2019-07-01*2019-09-30*1, en una escala del 1 a 7*0.0*-0.15**118087.14*2939*0.0*103528744*false*876.7148*0.11*0.0*0.11*0.04*-0.16*0.07*0.14
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2019 S1*2019-01-01*2019-06-30*1, en una escala del 1 a 7*0.15*-0.21**123955.89*3057*0.0*108845196*false*878.0962*0.23*0.0*0.23*0.07*-0.15*0.03*0.15
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2019 T1*2019-01-01*2019-03-31*1, en una escala del 1 a 7*0.0*-0.21**135003.28*3238*0.0*118718634*false*879.3759*0.12*0.0*0.12*0.04*-0.12*0.04*0.16
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2020 S2*2020-07-01*2020-12-31*1, en una escala del 1 al 7*0.04*-0.17**94363.73*2434*0.0*81977887*false*868.7436*0.23*0.0*0.23*0.08*-0.18*0.03*0.15
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2020 T3*2020-07-01*2020-09-30*1, en una escala del 1 a 7*0.05*-0.21**114419.52*2627*0.0*99576137*false*870.2723*0.11*0.0*0.11*0.04*-0.09*0.04*0.15
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2020 S1*2020-01-01*2020-06-30*1, en una escala del 1 a 7*0.0*-0.12**112766.36*2697*0.0*98223801*false*871.0382*0.22*0.0*0.22*0.07*0.19*0.12*0.15
BANKINTER CAPITAL 2, FI*BANKINTER CAPITAL 2 FI*2020 T1*2020-01-01*2020-03-31*1, en una escala del 1 a 7*0.0*-0.05**112249.41*2743*0.0*97585206*false*869.3606*0.11*0.0*0.11*0.04*-0.65*0.33*0.15
