fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 S2*2009-07-01*2009-12-31*alta*0.07*0.36**1633248.53*842*0.0*8195671*false*5.018***1.13*0.04*6.22*7.96*0.74
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 T3*2009-07-01*2009-09-30*alta*0.0*0.24**1568519.33*831*0.0*7409878*false*4.7241***0.57*0.02*14.94*10.97*0.72
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 S1*2009-01-01*2009-06-30*alta*0.2*0.36**1491913.07*828*0.0*6131645*false*4.1099***1.12*0.05*14.73*26.75*0.3
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 T1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*0.0**2330563.02*1128*0.0*24602780*false*10.5566*0.55*0.0*0.55*0.02*18.64*10.28*0.58
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 S2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.18*-0.05**2677866.06*1272*0.0*28574254*false*10.6705*1.13*0.0*1.13*0.05*2.75*8.66*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 T3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.1*0.0**2763495.95*1255*0.0*28698608*false*10.3849*0.57*0.0*0.57*0.03*4.44*10.28*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 S1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.05*0.0**2651074.41*1233*0.0*26360606*false*9.9434*1.12*0.0*1.12*0.05*4.94*14.35*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 T1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.0*0.0**2622038.34*1227*0.0*24844764*false*9.4754*0.56*0.0*0.56*0.02*-5.62*20.34*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 S2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**2774008.32*1350*0.0*34129377*false*12.3033*1.13*0.0*1.13*0.05*1.41*9.09*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 T3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.3**2643286.57*1318*0.0*32068624*false*12.1321*0.57*0.0*0.57*0.03*1.29*8.59*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 S1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**2605970.18*1316*0.0*31214785*false*11.9782*1.12*0.0*1.12*0.05*4.09*9.02*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 T1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.05*-0.3**2636195.25*1315*0.0*30337246*false*11.508*0.55*0.0*0.55*0.02*7.85*7.26*0.58
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 S2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.11*-0.3**2676659.32*1508*0.0*29737272*false*11.1098*1.13*0.0*1.13*0.05*-9.18*15.15*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 T3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*-0.3**2749144.41*1517*0.0*33627977*false*12.2322*0.57*0.0*0.57*0.02*-2.96*8.03*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 S1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**2676287.29*1485*0.0*33734910*false*12.6051*1.12*0.0*1.12*0.05*7.5*8.96*0.61
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 T1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.04*-0.3**2878833.64*1450*0.0*33755000*false*11.7253*0.55*0.0*0.55*0.02*-4.7*14.21*0.58
