fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009 S2*2009-07-01*2009-12-31*medio-alto*0.0*0.12**841849.08*576*0.0*5793922*false*6.8824***1.13*0.04*4.21*12.4*0.8
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009 T3*2009-07-01*2009-09-30*medio-alto*0.0*0.12**767749.06*551*0.0*5070659*false*6.6046***0.57*0.02*22.65*16.06*0.76
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009 S1*2009-01-01*2009-06-30*medio-alto*0.26*0.6**786036.51*562*0.0*4232583*false*5.3847***1.12*0.05*32.28*26.89*0.61
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2015 S 1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.96*0.93**643702.04*3*0.0*7816606*false*12.1432*0.37*0.0*0.37*0.05*1.61*13.13*0.22
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.25*1.44**2563204.64*1492*0.0*29295691*false*11.4293*0.55*0.0*0.55*0.02*18.77*12.73*0.58
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.25*1.44**0.0*0*0.0*0*false*11.585*0.0*0.0*0.0*0.0*0.0*12.73*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.25*1.44**561994.83*2*0.0*6716375*false*11.951*0.18*0.0*0.18*0.03*19.17*12.71*0.21
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**3008766.81*1806*0.0*35957194*false*11.9508*0.85*0.0*0.85*0.01*3.41*10.57*0.53
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**98011.2*3*0.0*1202006*false*12.264*0.04*0.0*0.04*0.06*3.55*10.57*0.14
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*3.75*10.57*0.06
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.0*0.0**3039824.07*1754*0.0*35131315*false*11.557*0.43*0.0*0.43*0.01*9.98*11.89*0.52
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*10.18*11.89*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*10.34*11.89*"[<iic-com:ratiototalgastos contextref=""FIM_T32016_V-60685922_da"" decimals=""2"" unitref=""pure"">0.52</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32016_V-60685922_da"" decimals=""2"" unitref=""pure"">0.00</iic-com:ratiototalgastos>]"
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.0**2928855.0*1736*0.0*30776539*false*10.508*0.9*0.0*0.9*0.02*-3.18*17.4*0.51
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-3.01*17.4*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.28*0.0*0.28*0.0*-2.86*17.4*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*18.43*0.0**2867897.32*1712*0.0*31125284*false*10.853*0.48*0.0*0.48*0.02*-4.98*21.21*0.5
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*18.43*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-4.81*21.21*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*18.43*0.0**0.0*0*0.0*0*false*11.5155*0.14*0.0*0.14*0.0*-4.67*21.18*0.15
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**3325157.28*2104*0.0*49770479*false*14.9679*0.86*0.0*0.86*0.01*3.71*7.93*0.53
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**265689.47*8*0.0*4106167*false*15.4548*0.5*0.0*0.5*0.02*3.87*7.88*0.36
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*7.93*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**3116851.78*1981*0.0*44984173*false*14.4326*0.43*0.0*0.43*0.01*4.76*9.42*0.58
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**201153.92*6*0.0*2992952*false*14.8789*0.25*0.0*0.25*0.01*4.92*9.38*0.41
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*9.42*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**3032046.87*1951*0.0*41771228*false*13.7766*0.84*0.0*0.84*0.01*6.74*9.89*0.44
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**211462.29*7*0.0*2998743*false*14.181*0.49*0.0*0.49*0.02*6.91*9.86*0.26
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*14.8569*0.0*0.0*0.0*0.0*7.09*9.89*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**3044853.59*1892*0.0*39297744*false*12.9063*0.42*0.0*0.42*0.01*8.0*7.57*0.52
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**186303.06*6*0.0*2471165*false*13.2642*0.24*0.0*0.24*0.01*8.16*7.56*0.26
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*8.34*7.57*0.0
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 S 2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**3451502.64*2277*0.0*38618886*false*11.189*0.86*0.0*0.86*0.02*-18.46*20.03*0.54
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 S 2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**275007.37*11*0.0*3205376*false*11.6556*0.5*0.0*0.5*0.01*-18.2*19.87*0.36
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 S 2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**151194.09*134*0.0*1866479*false*12.3449*0.2*0.0*0.2*0.01*-17.99*19.75*0.2
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**3516809.56*2313*0.0*48259995*false*13.7227*0.43*0.0*0.43*0.01*-4.46*9.11*0.52
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**295924.18*10*0.0*4216353*false*14.2481*0.25*0.0*0.25*0.01*-4.27*9.08*0.34
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**239559.32*134*0.0*3605894*false*15.0522*0.1*0.0*0.1*0.01*-4.1*9.03*0.19
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**3590291.99*2300*0.0*51567704*false*14.3631*0.84*0.0*0.84*0.01*-0.05*11.33*0.45
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**308095.63*10*0.0*4585695*false*14.884*0.5*0.0*0.5*0.01*0.13*11.3*0.27
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**230888.07*119*0.0*3624050*false*15.6961*0.2*0.0*0.2*0.03*0.29*11.26*0.13
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*-0.4**3451087.15*2197*0.0*49592000*false*14.37*0.42*0.0*0.42*0.01*-3.99*13.54*0.51
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*-0.4**308095.63*10*0.0*4580000*false*14.8645*0.25*0.0*0.25*0.01*-3.82*13.53*0.34
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*-0.4**132244.49*90*0.0*2070000*false*15.6511*0.01*0.0*0.01*0.01*-3.67*13.53*0.15
