fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 S2*2009-07-01*2009-12-31*alto*0.0*0.36**1937438.86*827*0.0*12510066*false*6.457***0.76*0.05*5.13*7.89*0.44
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 T3*2009-07-01*2009-09-30*alto*0.0*0.24**1965482.36*852*0.0*12071900*false*6.142***0.38*0.02*11.92*11.45*0.45
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 S1*2009-01-01*2009-06-30*alto*0.1*0.24**2043010.17*869*0.0*11211713*false*5.4878***0.74*0.05*19.82*25.59*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2012 S1*2012-01-01*2012-06-30*Alto*0.0*1.45**1155258.29*631*0.0*8272413*false*7.1607*0.75*0.0*0.75*0.05*-4.11*14.29*0.74
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2012 T1*2012-01-01*2012-03-31*Alto*0.0*1.33**1142124.91*628*0.0*8529029*false*7.4677*0.37*0.0*0.37*0.02*10.92*9.76*1.64
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2013 S2*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.05*1.81**1566004.98*850*0.0*14612513*false*9.3311*0.76*0.0*0.76*0.05*3.64*7.46*0.67
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2013 T3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.24*1.69**1660838.05*794*0.0*14952549*false*9.003*0.38*0.0*0.38*0.03*7.25*10.45*0.68
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2013 S1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**1545236.53*753*0.0*12970969*false*8.3942*0.74*0.0*0.74*0.05*0.06*14.83*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2013 T1*2013-01-01*2013-03-31*Alto*0.0*1.81**1435736.46*718*0.0*12044898*false*8.3894*0.37*0.0*0.37*0.02*7.48*6.88*0.66
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2014 T3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*1.94**1791043.16*914*0.0*18254008*false*10.1918*0.38*0.0*0.38*0.03*5.36*10.67*0.68
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2014 S1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*1.94**1769009.15*911*0.0*17112487*false*9.6735*0.74*0.0*0.74*0.05*5.38*9.85*0.66
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2014 T1*2014-01-01*2014-03-31*6 (En una escala del 1 al 7)*0.0*1.94**1819057.2*934*0.0*16698262*false*9.1796*0.37*0.0*0.37*0.02*-1.62*11.87*0.66
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2015 S2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.04*0.2**2290324.96*1202*0.0*27031909*false*11.8027*0.76*0.0*0.76*0.05*7.66*15.47*0.61
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2015 T3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.13*0.21**2139467.76*1136*0.0*23455457*false*10.9632*0.38*0.0*0.38*0.03*-11.17*25.5*0.59
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2015 S1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.05*0.93**2078820.63*1083*0.0*25655788*false*12.3415*0.74*0.0*0.74*0.05*-0.89*12.83*0.63
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2015 T1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*1.44**1989300.61*1029*0.0*24772164*false*12.4527*0.37*0.0*0.37*0.02*18.31*12.45*0.65
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2016 S2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.14*0.0**2369935.36*1249*0.0*29641311*false*12.5072*0.75*0.0*0.75*0.05*9.14*11.7*0.65
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2016 T3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.19*0.0**2359937.43*1226*0.0*27043404*false*11.4594*0.38*0.0*0.38*0.03*6.57*13.07*0.64
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2016 S1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.04**2369344.05*1231*0.0*25477859*false*10.7531*0.75*0.0*0.75*0.05*-0.8*21.26*0.61
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2016 T1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.0*0.07**2347112.08*1242*0.0*25442539*false*10.8399*0.37*0.0*0.37*0.02*-8.16*25.12*0.6
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2017 S2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*0.0**2347130.17*1280*0.0*31421613*false*13.3872*0.76*0.0*0.76*0.05*3.3*7.17*0.66
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2017 T3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*0.0**2385512.42*1280*0.0*30915129*false*12.9595*0.38*0.0*0.38*0.03*2.45*7.95*0.67
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2017 S1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**2340278.93*1296*0.0*29603155*false*12.6494*0.74*0.0*0.74*0.05*-2.11*5.88*0.6
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2017 T1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**2428745.72*1295*0.0*31383229*false*12.9216*0.37*0.0*0.37*0.02*3.31*7.1*0.62
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2018 S2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.05*0.0**2457335.67*1394*0.0*28831021*false*11.7326*0.76*0.0*0.76*0.05*-14.97*15.65*0.64
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2018 T3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*0.0**2490312.39*1400*0.0*34360927*false*13.7978*0.38*0.0*0.38*0.02*0.86*6.96*0.57
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2018 S1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*0.0**2441204.77*1356*0.0*33395611*false*13.68*0.74*0.0*0.74*0.05*5.72*8.31*0.66
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2018 T1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.02*0.0**2408798.14*1327*0.0*31168000*false*12.9393*0.37*0.0*0.37*0.02*-3.35*11.84*0.53
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2019 S2*2019-07-01*2019-12-31*6 (En una escala del 1 al 7)*0.02*0.0**2209742.22*1462*0.0*31833839*false*14.4061*0.76*0.0*0.76*0.05*4.68*8.1*0.68
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2019 T3*2019-07-01*2019-09-30*6 (En una escala del 1 al 7)*0.0*0.0**2454912.36*1454*0.0*33785425*false*13.7624*0.38*0.0*0.38*0.02*1.31*8.76*0.75
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2019 S1*2019-01-01*2019-06-30*6 (En una escala del 1 al 7)*0.02*0.0**2463716.77*1426*0.0*33469051*false*13.5848*0.74*0.0*0.74*0.05*0.8*7.43*0.75
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2019 T1*2019-01-01*2019-03-31*6 (En una escala del 1 al 7)*0.0*0.0**2461356.02*1406*0.0*33171333*false*13.4769*0.37*0.0*0.37*0.02*14.87*9.86*0.76
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2020 S2*2020-07-01*2020-12-31*6 (En una escala del 1 al 7)*0.08*0.0**2057786.34*1471*0.0*27860233*false*13.5389*0.75*0.0*0.75*0.05*15.42*16.61*0.58
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2020 T3*2020-07-01*2020-09-30*6 (En una escala del 1 al 7)*0.0*0.0**2130477.3*1512*0.0*24991599*false*11.7305*0.38*0.0*0.38*0.03*-1.39*12.98*0.55
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2020 S1*2020-01-01*2020-06-30*6 (En una escala del 1 al 7)*0.08*0.0**2255235.52*1540*0.0*26829266*false*11.8964*0.74*0.0*0.74*0.05*17.19*24.15*0.67
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2020 T1*2020-01-01*2020-03-31*6 (En una escala del 1 al 7)*0.06*0.0**2205548.49*1484*0.0*22389088*false*10.1513*0.37*0.0*0.37*0.02*-29.54*46.47*0.6
