fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 S2*2009-07-01*2009-12-31*bajo*0.0*0.24**9668.75*506*0.0*13012011*false*1345.7805***0.29*0.05*0.07*0.05*0.16
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T3*2009-07-01*2009-09-30*bajo*0.0*0.24**10463.07*504*0.0*14071225*false*1344.8472***0.15*0.03*0.07*0.05*0.19
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 T3*2017-07-01*2017-09-30*1 (En una escala del 1 al 7)*0.0*-0.4**4009.75*635*0.0*5479857*false*1366.6315*0.0*0.0*0.0*0.03*0.0*0.0*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 S1*2017-01-01*2017-06-30*1 (En una escala del 1 al 7)*0.0*0.0**3659.06*633*0.0*5000580*false*1366.6308*0.0*0.0*0.0*0.05*0.0*0.0*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 T1*2017-01-01*2017-03-31*1 (En una escala del 1 al 7)*0.0*0.0**3473.14*639*0.0*4746492*false*1366.6304*0.0*0.0*0.0*0.02*0.0*0.0*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 S2*2018-07-01*2018-12-31*1 (En una escala del 1 al 7)*0.0*-0.4**6259.82*727*0.0*8556051*false*1366.82*0.0*0.0*0.0*0.05*0.0*0.0*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 T3*2018-07-01*2018-09-30*1 (En una escala del 1 al 7)*0.0*-0.4**5550.83*727*0.0*7586669*false*1366.7625*0.0*0.0*0.0*0.03*0.0*0.01*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 S1*2018-01-01*2018-06-30*1 (En una escala del 1 al 7)*0.0*-0.4**4501.19*721*0.0*6151936*false*1366.7359*0.0*0.0*0.0*0.05*0.01*0.01*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 T1*2018-01-01*2018-03-31*1 (En una escala del 1 al 7)*0.0*-0.4**8141.67*787*0.0*11127000*false*1366.6674*0.0*0.0*0.0*0.02*0.0*0.0*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 S2*2019-07-01*2019-12-31*1 (En una escala del 1 al 7)*0.0*-0.5**6594.83*669*0.0*8994784*false*1363.9154*0.0*0.0*0.0*0.05*-0.14*0.01*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 T3*2019-07-01*2019-09-30*1 (En una escala del 1 al 7)*0.0*-0.4**7400.0*705*0.0*10107358*false*1365.8591*0.0*0.0*0.0*0.03*-0.07*0.01*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 S1*2019-01-01*2019-06-30*1 (En una escala del 1 al 7)*0.0*-0.4**7834.82*712*0.0*10708415*false*1366.7726*0.0*0.0*0.0*0.05*-0.01*0.0*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 T1*2019-01-01*2019-03-31*1 (En una escala del 1 al 7)*0.0*-0.4**6790.29*721*0.0*9281490*false*1366.8768*0.0*0.0*0.0*0.02*0.0*0.0*0.04
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 S2*2020-07-01*2020-12-31*1 (En una escala del 1 al 7)*0.0*-0.5**4102.27*611*0.0*5555752*false*1354.311*0.05*0.0*0.05*0.05*-0.19*0.02*0.07
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 T3*2020-07-01*2020-09-30*1 (En una escala del 1 al 7)*0.0*-0.5**4758.78*628*0.0*6457055*false*1356.8708*0.03*0.0*0.03*0.03*-0.19*0.01*0.08
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 S1*2020-01-01*2020-06-30*1 (En una escala del 1 al 7)*0.0*-0.5**4895.17*638*0.0*6654588*false*1359.4191*0.02*0.0*0.02*0.05*-0.18*0.01*0.07
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 T1*2020-01-01*2020-03-31*1 (En una escala del 1 al 7)*0.0*-0.5**5308.13*636*0.0*7228989*false*1361.8711*0.0*0.0*0.0*0.02*-0.15*0.01*0.05
