fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO BOLSALIDER, FI*GVC Gaesco Bolsalíder, F.I.*2013 T1*2013-01-01*2013-03-31*Alto*0.0*1.81**593261.56*338*0.0*3934095*false*6.6313*0.55*0.0*0.55*0.04*-0.76*18.08*0.61
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2014 T 3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*2.0**1710395.35*836*0.0*15953488*false*9.3274*0.57*0.0*0.57*0.04*-2.3*15.54*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2014 T 3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*2.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*15.54*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2014 T 3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*2.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*15.54*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2014 S 1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*1.98**1589673.77*785*0.0*15176335*false*9.5468*1.11*0.0*1.11*0.07*4.94*12.04*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2014 S 1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*1.98**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*12.04*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2014 S 1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*1.98**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*12.03*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2014 T 1*2014-01-01*2014-03-31*7 (En una escala del 1 al 7)*0.0*1.81**1367096.31*703*0.0*12436573*false*9.0971*0.55*0.0*0.55*0.04*5.51*15.49*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2014 T 1*2014-01-01*2014-03-31*7 (En una escala del 1 al 7)*0.0*1.81**0.0*0*0.0*0*false*9.1466*0.0*0.0*0.0*0.0*5.71*15.49*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2014 T 1*2014-01-01*2014-03-31*7 (En una escala del 1 al 7)*0.0*1.81**0.0*0*0.0*0*false*9.1963*0.0*0.0*0.0*0.0*5.9*15.49*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalï¿½der, F.I.*2015 S 2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.2**1786410.33*977*0.0*15357154*false*8.5967*1.13*0.0*1.13*0.07*-0.84*22.3*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2015 S 2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.2**0.0*0*0.0*0*false*8.7578*0.0*0.0*0.0*0.0*-0.66*22.3*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2015 S 2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.2**113287.91*1*0.0*1010861*false*8.9229*0.37*0.0*0.37*0.07*-0.43*21.85*0.25
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2015 T 3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.0*0.21**2064312.78*995*0.0*17897414*false*8.6699*0.57*0.0*0.57*0.03*-12.0*25.94*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2015 T 3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.0*0.21**0.0*0*0.0*0*false*8.8158*0.0*0.0*0.0*0.0*-11.83*25.94*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2015 T 3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.0*0.21**113287.91*1*0.0*1015195*false*8.9612*0.13*0.0*0.13*0.0*-11.69*25.93*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2015 S 1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.93**1876052.14*946*0.0*18482472*false*9.8518*1.12*0.0*1.12*0.07*-5.82*17.2*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2015 S 1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.93**0.0*0*0.0*0*false*9.9986*0.0*0.0*0.0*0.0*0.0*17.2*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2015 S 1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.93**0.0*0*0.0*0*false*10.147*0.0*0.0*0.0*0.0*0.0*17.2*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*1.44**1673045.5*874*0.0*17500679*false*10.4604*0.55*0.0*0.55*0.04*16.58*16.62*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*1.44**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*16.62*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2015 T 1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*1.44**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12015_V-60495454_da"" decimals=""2"" unitref=""pure"">16.58</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12015_V-60495454_da"" decimals=""2"" unitref=""pure"">0</iic-com:rentabilidadiic>]"*16.62*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalï¿½der, F.I.*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**1809590.34*959*0.0*15872792*false*8.7715*1.13*0.0*1.13*0.08*6.06*13.82*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*6.26*13.82*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2016 S 2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*0.0**113287.91*1*0.0*1045621*false*9.2298*0.38*0.0*0.38*0.08*6.37*13.65*0.23
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.38*0.0**1828700.34*956*0.0*15124351*false*8.2705*0.57*0.0*0.57*0.04*10.4*17.56*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.38*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*10.61*17.56*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2016 T 3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.38*0.0**113287.91*1*0.0*983024*false*8.6772*0.19*0.0*0.19*0.04*10.72*17.41*0.24
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.04**1853905.04*967*0.0*13888651*false*7.4916*1.12*0.0*1.12*0.07*-5.11*32.97*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.04**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-4.93*32.97*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2016 S 1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.04**113287.91*1*0.0*887832*false*7.837*0.37*0.0*0.37*0.07*-4.71*32.75*0.23
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.07*0.0**1831390.61*976*0.0*14458294*false*7.8947*0.56*0.0*0.56*0.04*-8.17*34.42*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.07*0.0**0.0*0*0.0*0*false*8.0578*0.0*0.0*0.0*0.0*-7.99*34.42*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2016 T 1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.07*0.0**113287.91*1*0.0*931734*false*8.2245*0.19*0.0*0.19*0.04*-7.83*34.36*0.23
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalï¿½der, F.I.*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*0.0**1625425.54*859*0.0*15253933*false*9.3846*1.13*0.0*1.13*0.07*-1.94*11.42*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*11.42*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2017 S 2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*0.0**152183.06*2*0.0*1525687*false*10.0253*0.38*0.0*0.38*0.12*-1.56*11.26*0.28
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*0.0**1711227.18*964*0.0*16377209*false*9.5704*0.57*0.0*0.57*0.04*-3.04*11.89*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*11.89*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2017 T 3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*0.0**113287.91*1*0.0*1153705*false*10.1838*0.19*0.0*0.19*0.04*-2.65*11.78*0.24
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1742753.27*961*0.0*17202418*false*9.8708*1.12*0.0*1.12*0.07*0.76*12.71*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*10.1696*0.0*0.0*0.0*0.0*0.95*12.71*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2017 S 1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**113287.91*1*0.0*1185155*false*10.4614*0.37*0.0*0.37*0.08*1.14*12.64*0.23
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**1739031.21*982*0.0*17036330*false*9.7964*0.56*0.0*0.56*0.04*11.69*10.87*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*10.0741*0.0*0.0*0.0*0.0*11.89*10.87*0.0
