fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009*2009-01-01*2009-12-31*bajo*0.005*0.24**10113.775*507.0*0.0*13012011.0*False*1345.7805***0.6699999999999999*0.1****False*Y*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T4*2009-07-01*2009-12-31*bajo*0.0*0.24**8874.43*508.0*0.0*13012011.0*False*1345.7805***0.13999999999999999*0.020000000000000004****False*T*2009
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 T4*2017-07-01*2017-12-31*1 (En una escala del 1 al 7)*0.0*-0.4**19930.63*953.0*0.0*16358902.0*False*1366.6371*0.0*0.0*0.0*0.020000000000000004****False*T*2017
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018*2018-01-01*2018-12-31*1 (En una escala del 1 al 7)*0.0*-0.4**5380.504999999999*724.0*0.0*8556051.0*False*1366.82*0.0*0.0*0.0*0.1****False*Y*2018
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 T2*2018-01-01*2018-06-30*1 (En una escala del 1 al 7)*0.0*-0.4**860.7099999999991*655.0*0.0*6151936.0*False*1366.7359*0.0*0.0*0.0*0.030000000000000002****False*T*2018
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2018 T4*2018-07-01*2018-12-31*1 (En una escala del 1 al 7)*0.0*-0.4**6968.8099999999995*727.0*0.0*8556051.0*False*1366.82*0.0*0.0*0.0*0.020000000000000004****False*T*2018
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019*2019-01-01*2019-12-31*1 (En una escala del 1 al 7)*0.0*-0.45**7214.825*690.5*0.0*8994784.0*False*1363.9154*0.0*0.0*0.0*0.1****False*Y*2019
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 T2*2019-01-01*2019-06-30*1 (En una escala del 1 al 7)*0.0*-0.4**8879.349999999999*703.0*0.0*10708415.0*False*1366.7726*0.0*0.0*0.0*0.030000000000000002****False*T*2019
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2019 T4*2019-07-01*2019-12-31*1 (En una escala del 1 al 7)*0.0*-0.6**5789.66*633.0*0.0*8994784.0*False*1363.9154*0.0*0.0*0.0*0.020000000000000004****False*T*2019
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020*2020-01-01*2020-12-31*1 (En una escala del 1 al 7)*0.0*-0.5**4498.72*624.5*0.0*5555752.0*False*1354.3110000000001*0.07*0.0*0.07*0.1****False*Y*2020
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 T2*2020-01-01*2020-06-30*1 (En una escala del 1 al 7)*0.0*-0.5**4482.21*640.0*0.0*6654588.0*False*1359.4191*0.02*0.0*0.02*0.030000000000000002****False*T*2020
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2020 T4*2020-07-01*2020-12-31*1 (En una escala del 1 al 7)*0.0*-0.5**3445.760000000001*594.0*0.0*5555752.0*False*1354.3110000000001*0.020000000000000004*0.0*0.020000000000000004*0.020000000000000004****False*T*2020
