fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2010*2010-01-01*2010-12-31*MEDIO*0.0*0.215**10734106.86*16.0*0.0*128422789.0*False*5.996***0.18*0.04****False*Y*2010
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2015 T4*2015-07-01*2015-12-31*MEDIO-ALTO*0.49*0.0**20642253.909999996*183.0*0.0*137894857.0*False*6.642*0.07**0.07*0.02****False*T*2015
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2016*2016-01-01*2016-12-31*medio alto*0.695*0.0**20759327.855*149.0*0.0*138538176.0*False*6.6736*0.28**0.28*0.08****False*Y*2016
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2016 T2*2016-01-01*2016-06-30*MEDIO-ALTO*0.72*0.0**20757725.6*148.0*0.0*135810711.0*False*6.5421*0.07**0.07*0.02****False*T*2016
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2016 T4*2016-07-01*2016-12-31*medio alto*1.71*0.0**20759141.400000002*147.0*0.0*138538176.0*False*6.6736*0.07**0.07*0.02****False*T*2016
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2017*2017-01-01*2017-12-31*medio alto*0.41500000000000004*0.0**20755902.69*148.0*0.0*140355265.0*False*6.7622*0.28**0.28*0.08****False*Y*2017
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2017 T2*2017-01-01*2017-06-30*medio alto*0.8900000000000001*0.0**20755900.69*146.0*0.0*139250041.0*False*6.7089*0.07**0.07*0.02****False*T*2017
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2017 T4*2017-07-01*2017-12-31*medio alto*0.4099999999999999*0.0**20755903.69*149.0*0.0*140355265.0*False*6.7622*0.07**0.07*0.02****False*T*2017
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2018*2018-01-01*2018-12-31*medio alto*0.4*0.0**20754741.37*141.0*0.0*134353502.0*False*6.4738*0.28**0.28*0.08****False*Y*2018
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2018 T2*2018-01-01*2018-06-30*medio alto*0.8*0.0**20755901.69*147.0*0.0*137885068.0*False*6.6432*0.07**0.07*0.02****False*T*2018
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2018 T4*2018-07-01*2018-12-31*medio alto*0.44999999999999996*0.0**20751261.41*124.0*0.0*134353502.0*False*6.4738*0.07**0.07*0.02****False*T*2018
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2019*2019-01-01*2019-12-31*medio alto*0.36*-0.265**20716659.4*127.0*0.0*141667722.0*False*6.8383*0.28**0.28*0.08****False*Y*2019
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2019 T2*2019-01-01*2019-06-30*medio alto*0.6799999999999999*-0.24**20716662.4*130.0*0.0*139562072.0*False*6.7367*0.07**0.07*0.02****False*T*2019
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2019 T4*2019-07-01*2019-12-31*medio alto*0.31*-0.52**20716650.4*118.0*0.0*141667722.0*False*6.8383*0.07**0.07*0.02****False*T*2019
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2020*2020-01-01*2020-12-31*medio alto*0.395*-0.55**15230059.215*117.5*0.0*102205718.0*False*6.7111*0.28**0.28*0.08****False*Y*2020
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2020 T2*2020-01-01*2020-06-30*medio alto*0.54*-0.56**9748785.82*114.0*0.0*98612446.0*False*6.4746*0.07**0.07*0.02****False*T*2020
RFMI MULTIGESTION FI*RFMI MULTIGESTION FI*2020 T4*2020-07-01*2020-12-31*medio alto*0.44*-0.5900000000000001**15229395.05*117.0*0.0*102205718.0*False*6.7111*0.07**0.07*0.02****False*T*2020
