fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**67012.82*2.0**1319000.0*False*19.6884*0.4*0.0*0.4*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**19006.03*1.0**1001000.0*False*16.2513*0.41000000000000003*0.0*0.41000000000000003*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.16*-0.28**272498.005*131.5**4626000.0*False*16.153*1.84*0.0*1.84*0.1****True*Y*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*-0.21*-0.63**348758.53*168.0**5067000.0*False*19.5939*0.46*0.0*0.46*0.030000000000000002****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.64*-0.38**295643.33999999997*137.0**4626000.0*False*16.153*0.4600000000000001*0.0*0.4600000000000001*0.020000000000000004****True*T*2018
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**4220956.915*4457.5**65267000.0*False*17.1785*2.1*0.0*2.1*0.1****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**4356140.329999999*4578.0**76864000.0*False*16.5562*0.52*0.0*0.52*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**3264725.75*3729.0**65267000.0*False*17.1785*0.53*0.0*0.53*0.020000000000000004****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**2427450.945*271.5**36521000.0*False*17.5855*1.6*0.0*1.6*0.1****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**2469785.4799999995*281.0**46967000.0*False*16.9059*0.4*0.0*0.4*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**1632320.5900000003*178.0**36521000.0*False*17.5855*0.41000000000000003*0.0*0.41000000000000003*0.020000000000000004****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**41669.33*0.5**0.0*False*18.0892*0.58*0.0*0.58*0.060000000000000005****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**83338.66*1.0**1445000.0*False*17.3375*0.25*0.0*0.25*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**0.0*0.0**0.0*False*18.0892*0.0*0.0*0.0*0.0****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**2974349.655*14211.5**35997000.0*False*17.7582*0.81*0.0*0.81*0.1****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**3848195.67*14317.0**66680000.0*False*17.0032*0.2*0.0*0.2*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**1902085.75*12328.0**35997000.0*False*17.7582*0.20999999999999996*0.0*0.20999999999999996*0.020000000000000004****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**53302.57*2.0**958000.0*False*17.9696*1.6*0.0*1.6*0.1****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**53302.57*2.0**921000.0*False*17.2753*0.39*0.0*0.39*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**53302.57*2.0**958000.0*False*17.9696*0.41000000000000003*0.0*0.41000000000000003*0.020000000000000004****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.125*-0.25**215063.505*105.0**3290000.0*False*17.8162*1.85*0.0*1.85*0.1****True*Y*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.049999999999999996*-0.16000000000000003**232743.88*110.0**4209000.0*False*17.1494*0.46*0.0*0.46*0.030000000000000002****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.44*-0.29000000000000004**143527.78*75.0**3290000.0*False*17.8162*0.4600000000000001*0.0*0.4600000000000001*0.020000000000000004****True*T*2019
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - BASE*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**3176273.58*3461.0**38442000.0*False*11.7157*0.52*0.0*0.52*0.030000000000000002****True*T*2020
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PLUS*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**1455784.5500000003*148.0**18914000.0*False*12.0228*0.4*0.0*0.4*0.030000000000000002****True*T*2020
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PREMIER*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**0.0*0.0**0.0*False*12.4042*0.0*0.0*0.0*0.0****True*T*2020
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - CARTERA*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**-982906.18*-8598.0**483000.0*False*12.1895*0.2*0.0*0.2*0.030000000000000002****True*T*2020
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - EMPRESA*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**4646.3*1.0**57000.0*False*12.2858*0.41*0.0*0.41*0.020000000000000004****True*T*2020
SABADELL ESPAÑA DIVIDENDO, FI*SABADELL ESPAÑA DIVIDENDO, FI - PYME*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*1.62*-0.04000000000000001**151468.18*79.0**1960000.0*False*12.1658*0.46*0.0*0.46*0.030000000000000002****True*T*2020
