fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2017*2017-01-01*2017-12-31*6, en una escala de 1 a 7.*0.255*-0.245**473134.27*1654.0*0.0*73554757.0*False*153.9317*0.5*0.48000000000000004*0.98*0.04****True*Y*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2017 T2*2017-01-01*2017-06-30*6, en una escala de 1 a 7.*0.5700000000000001*-0.29999999999999993**389521.51*1571.0*0.0*71790621.0*False*153.2585*0.13*0.07*0.20000000000000007*0.01****True*T*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2017 T4*2017-07-01*2017-12-31*6, en una escala de 1 a 7.*0.2*-0.09000000000000002**425293.72*1631.0*0.0*73554757.0*False*153.9317*0.12*-0.04*0.08000000000000002*0.01****True*T*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2017*2017-01-01*2017-12-31*6, en una escala de 1 a 7.*0.255*-0.245**66.125*3.5*0.0*13085.0*False*147.2867*1.5**1.5*0.05****True*Y*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2017 T2*2017-01-01*2017-06-30*6, en una escala de 1 a 7.*0.5700000000000001*-0.29999999999999993**34.00999999999999*5.0*0.0*6396.0*False*147.347*0.38**0.38*0.01****True*T*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2017 T4*2017-07-01*2017-12-31*6, en una escala de 1 a 7.*0.2*-0.09000000000000002**75.10000000000001*1.0*0.0*13085.0*False*147.2867*0.38**0.38*0.009999999999999998****True*T*2017
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA FI"*2018 T2*2018-01-01*2018-06-30*6, en una escala de 1 a 7.*0.18*-0.35**316639.11000000004*994.0*0.0*56361510.0*False*152.1148*0.13**0.13*0.01****True*T*2018
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA FI"*2018 T2*2018-01-01*2018-06-30*6, en una escala de 1 a 7.*0.18*-0.35**59.66000000000001*1.0*0.0*11800.0*False*144.7068*0.37**0.37*-1.08****True*T*2018
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA LARGE CAP"*2019*2019-01-01*2019-12-31*5, en una escala de 1 a 7.*0.25*-0.31**95205.22*651.0*0.0*14417514.0*False*164.5865*0.72*1.03*1.75*0.05****True*Y*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA LARGE CAP"*2019 T2*2019-01-01*2019-06-30*6, en una escala de 1 a 7.*0.0*-0.3**100878.74*644.0*0.0*15910296.0*False*154.7513*0.15999999999999998*0.04*0.2*0.01****True*T*2019
